,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Afrikaans,0.0000,0.7965,0.8145,0.8163,0.7762,0.8011,0.8302,0.7631,0.7711,0.7652,0.8007,0.8018,0.7957,0.8058,0.8345,0.7588,0.8284,0.8450,0.8851,0.8505,0.8474,0.7599,0.7781,0.8344,0.7678,0.7882,0.8441,0.8252,0.8411,0.8179,0.8091,0.8263,0.9106
Arabic,0.7965,0.0000,0.8122,0.6971,0.7021,0.7987,0.7283,0.6857,0.6918,0.7421,0.8058,0.7483,0.6874,0.6723,0.8372,0.6972,0.7782,0.8554,0.8054,0.8572,0.8517,0.6788,0.6884,0.8571,0.6886,0.6575,0.8154,0.8237,0.7892,0.7503,0.8178,0.8434,0.9059
Chinese,0.8145,0.8122,0.0000,0.7531,0.7075,0.8114,0.7177,0.7722,0.7950,0.7331,0.8381,0.7564,0.7325,0.7412,0.8649,0.7810,0.7235,0.8505,0.7164,0.8225,0.8608,0.7758,0.7367,0.8590,0.8011,0.7355,0.8510,0.8423,0.8112,0.7599,0.7841,0.8258,0.8647
Czech,0.8163,0.6971,0.7531,0.0000,0.6148,0.7678,0.6462,0.5979,0.6298,0.5747,0.8098,0.7229,0.6115,0.6045,0.8326,0.6413,0.7763,0.8135,0.7858,0.8166,0.8388,0.6329,0.5298,0.8315,0.6361,0.5641,0.8227,0.8370,0.7666,0.7323,0.8103,0.8265,0.8820
English,0.7762,0.7021,0.7075,0.6148,0.0000,0.8128,0.5782,0.4930,0.5372,0.5122,0.8041,0.6978,0.5104,0.5267,0.8345,0.5504,0.7613,0.8343,0.7538,0.8517,0.8456,0.4629,0.5963,0.8442,0.6003,0.3426,0.8331,0.8584,0.7103,0.7756,0.8068,0.8210,0.8925
Faroese,0.8011,0.7987,0.8114,0.7678,0.8128,0.0000,0.8057,0.8086,0.8181,0.8186,0.8145,0.8126,0.8083,0.7867,0.8285,0.8025,0.8452,0.7620,0.8464,0.7618,0.7523,0.8108,0.7633,0.7967,0.7972,0.8031,0.7337,0.8282,0.8486,0.8247,0.7352,0.8018,0.8387
Finnish,0.8302,0.7283,0.7177,0.6462,0.5782,0.8057,0.0000,0.6386,0.6915,0.6281,0.8199,0.7131,0.6104,0.6241,0.8571,0.6776,0.7892,0.7996,0.7533,0.7982,0.8389,0.6681,0.6129,0.8228,0.6889,0.5732,0.8168,0.8172,0.7532,0.7389,0.7889,0.8299,0.8770
French,0.7631,0.6857,0.7722,0.5979,0.4930,0.8086,0.6386,0.0000,0.4181,0.5589,0.8004,0.7545,0.5606,0.5445,0.8311,0.4980,0.7769,0.8386,0.7768,0.8654,0.8412,0.4210,0.5803,0.8680,0.4860,0.5099,0.8488,0.8490,0.7043,0.7443,0.8242,0.8214,0.8922
Galician,0.7711,0.6918,0.7950,0.6298,0.5372,0.8181,0.6915,0.4181,0.0000,0.5828,0.8006,0.7552,0.5784,0.6044,0.8231,0.4846,0.7719,0.8499,0.8125,0.8562,0.8512,0.3671,0.5788,0.8496,0.2475,0.5661,0.8440,0.8459,0.7396,0.7555,0.8392,0.8330,0.9207
German,0.7652,0.7421,0.7331,0.5747,0.5122,0.8186,0.6281,0.5589,0.5828,0.0000,0.8044,0.7271,0.5868,0.6355,0.8384,0.6085,0.7829,0.8182,0.7380,0.8482,0.8445,0.5771,0.6178,0.8378,0.6113,0.4920,0.8474,0.8296,0.7538,0.7325,0.7960,0.8108,0.8702
Hebrew,0.8007,0.8058,0.8381,0.8098,0.8041,0.8145,0.8199,0.8004,0.8006,0.8044,0.0000,0.8206,0.8181,0.7974,0.8418,0.8081,0.8404,0.8260,0.8518,0.8649,0.8365,0.7908,0.7953,0.8572,0.7992,0.8029,0.7626,0.8898,0.8577,0.8495,0.8400,0.8191,0.9120
Hindi,0.8018,0.7483,0.7564,0.7229,0.6978,0.8126,0.7131,0.7545,0.7552,0.7271,0.8206,0.0000,0.7187,0.7392,0.8638,0.7560,0.6911,0.8500,0.7407,0.8576,0.8771,0.7454,0.7231,0.8558,0.7563,0.7031,0.8653,0.8311,0.7969,0.7128,0.8006,0.8493,0.9046
Icelandic,0.7957,0.6874,0.7325,0.6115,0.5104,0.8083,0.6104,0.5606,0.5784,0.5868,0.8181,0.7187,0.0000,0.5861,0.8565,0.6139,0.7772,0.8200,0.7711,0.8441,0.8473,0.5946,0.5931,0.8339,0.6207,0.4377,0.8134,0.8303,0.6922,0.7889,0.8120,0.8255,0.9008
Indonesian,0.8058,0.6723,0.7412,0.6045,0.5267,0.7867,0.6241,0.5445,0.6044,0.6355,0.7974,0.7392,0.5861,0.0000,0.8415,0.5764,0.7934,0.8125,0.7665,0.8378,0.8310,0.5196,0.5777,0.8304,0.6227,0.4931,0.8108,0.8140,0.6339,0.7564,0.7936,0.8229,0.8939
Irish,0.8345,0.8372,0.8649,0.8326,0.8345,0.8285,0.8571,0.8311,0.8231,0.8384,0.8418,0.8638,0.8565,0.8415,0.0000,0.8229,0.8535,0.8757,0.8761,0.8734,0.8801,0.8287,0.8137,0.8788,0.8287,0.8540,0.8292,0.8585,0.8766,0.8786,0.8753,0.8740,0.9289
Italian,0.7588,0.6972,0.7810,0.6413,0.5504,0.8025,0.6776,0.4980,0.4846,0.6085,0.8081,0.7560,0.6139,0.5764,0.8229,0.0000,0.7819,0.8349,0.7920,0.8731,0.8442,0.4448,0.5952,0.8674,0.5008,0.5878,0.8447,0.8491,0.7706,0.7769,0.8461,0.8352,0.9017
Japanese,0.8284,0.7782,0.7235,0.7763,0.7613,0.8452,0.7892,0.7769,0.7719,0.7829,0.8404,0.6911,0.7772,0.7934,0.8535,0.7819,0.0000,0.8795,0.7194,0.8747,0.8944,0.7807,0.7735,0.8862,0.7781,0.7668,0.8759,0.8229,0.8196,0.7976,0.8239,0.8660,0.9156
Komi_Zyrian,0.8450,0.8554,0.8505,0.8135,0.8343,0.7620,0.7996,0.8386,0.8499,0.8182,0.8260,0.8500,0.8200,0.8125,0.8757,0.8349,0.8795,0.0000,0.8494,0.7237,0.7574,0.8322,0.8115,0.8046,0.8453,0.8212,0.7428,0.8340,0.8892,0.8373,0.7924,0.7705,0.8221
Korean,0.8851,0.8054,0.7164,0.7858,0.7538,0.8464,0.7533,0.7768,0.8125,0.7380,0.8518,0.7407,0.7711,0.7665,0.8761,0.7920,0.7194,0.8494,0.0000,0.8235,0.8824,0.7786,0.7896,0.8513,0.8325,0.7558,0.8633,0.7981,0.8362,0.6945,0.7782,0.8362,0.8638
Nenets,0.8505,0.8572,0.8225,0.8166,0.8517,0.7618,0.7982,0.8654,0.8562,0.8482,0.8649,0.8576,0.8441,0.8378,0.8734,0.8731,0.8747,0.7237,0.8235,0.0000,0.7524,0.8616,0.8344,0.7925,0.8588,0.8382,0.7830,0.7825,0.9185,0.7974,0.7639,0.8261,0.8346
Norwegian,0.8474,0.8517,0.8608,0.8388,0.8456,0.7523,0.8389,0.8412,0.8512,0.8445,0.8365,0.8771,0.8473,0.8310,0.8801,0.8442,0.8944,0.7574,0.8824,0.7524,0.0000,0.8523,0.8491,0.7920,0.8453,0.8360,0.7046,0.8544,0.8856,0.8441,0.8255,0.8307,0.8813
Portuguese,0.7599,0.6788,0.7758,0.6329,0.4629,0.8108,0.6681,0.4210,0.3671,0.5771,0.7908,0.7454,0.5946,0.5196,0.8287,0.4448,0.7807,0.8322,0.7786,0.8616,0.8523,0.0000,0.5906,0.8637,0.4608,0.5225,0.8401,0.8692,0.7100,0.7606,0.8253,0.8125,0.9058
Russian,0.7781,0.6884,0.7367,0.5298,0.5963,0.7633,0.6129,0.5803,0.5788,0.6178,0.7953,0.7231,0.5931,0.5777,0.8137,0.5952,0.7735,0.8115,0.7896,0.8344,0.8491,0.5906,0.0000,0.8485,0.6210,0.5704,0.8336,0.8207,0.7156,0.7234,0.8019,0.8194,0.8831
