,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,1.0,0.9352658177989639,0.8010997825921127,0.8527228064989343,0.832976878862413,0.711144565740543,0.8102683523023433,0.8170262518718122,0.7837479569783764,0.9203709603968498,0.8789098430018829,0.8207863294876593,0.7621675510823084,0.5309588684636752,0.8210584602425887,0.94389911300083,0.9061599313514133,0.6908019509674058,0.6761929552064356,0.6958291973730564
Czech,0.9352658177989639,1.0,0.8729420041945858,0.905896159873529,0.8292365161756772,0.8336837353141929,0.827809043546016,0.8223217826676974,0.7992105694046936,0.9327364112738121,0.918028505288196,0.8260345656963617,0.6978411284865381,0.5874914238742437,0.8333632212231022,0.9841268651489262,0.9378070945620165,0.6718571241123804,0.7896067181030963,0.7939830306115584
German,0.8010997825921127,0.8729420041945858,1.0,0.9731949121459853,0.9507321158058658,0.7947680982757277,0.9611718733518558,0.9522561238148982,0.7981228599224215,0.8864826353812664,0.8609086484208247,0.9545121537680699,0.6607499969587182,0.6407703378935318,0.9583840838798325,0.8794603944867937,0.9303044779288296,0.6902735488770005,0.7750806829786057,0.7848686606396157
English,0.8527228064989343,0.905896159873529,0.9731949121459853,1.0,0.9483642035867421,0.7959344923975717,0.9475906115142368,0.9462893142012745,0.8848053022444594,0.8977459233654195,0.9046194276606955,0.9498264884653717,0.7718999545061564,0.6879736339560438,0.9523814756202675,0.908347347765042,0.9624714253661254,0.7740154752028368,0.8096091965339522,0.8221429488941986
Spanish,0.832976878862413,0.8292365161756772,0.9507321158058658,0.9483642035867421,1.0,0.6455617476106257,0.987788010681698,0.9938801220349701,0.8227930950179304,0.844796052554679,0.8180701789271149,0.9904755108604125,0.7225159375020954,0.5117461699732101,0.9966933190025518,0.8423506409161546,0.9011375310461551,0.6922118889972051,0.666006847472821,0.6650083467528516
Finnish,0.711144565740543,0.8336837353141929,0.7947680982757277,0.7959344923975717,0.6455617476106257,1.0,0.6661741763684133,0.6483603978028322,0.7325957161171104,0.8310159432729907,0.8573604704581357,0.6478665015815603,0.5113230014460506,0.7474581442012929,0.6525019689632395,0.8446862693861407,0.846896339914078,0.6490863773709454,0.9297257023123313,0.8008702405635887
French,0.8102683523023433,0.827809043546016,0.9611718733518558,0.9475906115142368,0.987788010681698,0.6661741763684133,1.0,0.9898267051040701,0.7912958260290608,0.8458272457381973,0.8108325918709712,0.9846900968315765,0.6750268548784473,0.5243422283938496,0.9913698942846699,0.8403295747164227,0.8964745122597505,0.6697804784918081,0.6821602619691993,0.6761011353217176
Galician,0.8170262518718122,0.8223217826676974,0.9522561238148982,0.9462893142012745,0.9938801220349701,0.6483603978028322,0.9898267051040701,1.0,0.8085943901635778,0.8402061689212083,0.8100272428585769,0.9902575707705498,0.7108815834306548,0.5074563354317019,0.9952407282910173,0.837045754682894,0.8939816660874266,0.6782227209712642,0.6749571572130922,0.6650202747254902
Hindi,0.7837479569783764,0.7992105694046936,0.7981228599224215,0.8848053022444594,0.8227930950179304,0.7325957161171104,0.7912958260290608,0.8085943901635778,1.0,0.7832284868721481,0.8831034676563555,0.799706766265393,0.8469022565926964,0.638109464857849,0.8112624249150565,0.8139853663066439,0.8874972488678047,0.8266302621062924,0.7835379258452945,0.7468721527877656
Indonesian,0.9203709603968498,0.9327364112738121,0.8864826353812664,0.8977459233654195,0.844796052554679,0.8310159432729907,0.8458272457381973,0.8402061689212083,0.7832284868721481,1.0,0.929804091934628,0.835162468796699,0.7296824357766758,0.6443257217440685,0.8456432848039737,0.9457807554514577,0.9400224008140168,0.7276624911586403,0.7601823499556288,0.8229810366915911
Icelandic,0.8789098430018829,0.918028505288196,0.8609086484208247,0.9046194276606955,0.8180701789271149,0.8573604704581357,0.8108325918709712,0.8100272428585769,0.8831034676563555,0.929804091934628,1.0,0.8012571954176906,0.7690156184586419,0.6604318888884841,0.8109885242022523,0.916512079523764,0.970524888279197,0.811037811267786,0.8201612214023685,0.8168364056481748
Italian,0.8207863294876593,0.8260345656963617,0.9545121537680699,0.9498264884653717,0.9904755108604125,0.6478665015815603,0.9846900968315765,0.9902575707705498,0.799706766265393,0.835162468796699,0.8012571954176906,1.0,0.703427500443579,0.5151365993082734,0.9932261262222338,0.8305880787910495,0.8945853954520704,0.6698763845325304,0.6750292431661148,0.6573076799590598
Japanese,0.7621675510823084,0.6978411284865381,0.6607499969587182,0.7718999545061564,0.7225159375020954,0.5113230014460506,0.6750268548784473,0.7108815834306548,0.8469022565926964,0.7296824357766758,0.7690156184586419,0.703427500443579,1.0,0.5734222879761278,0.7080078609646042,0.7141919486257435,0.7544154105467598,0.7562461915907799,0.50762294924769,0.7219478893603019
Korean,0.5309588684636752,0.5874914238742437,0.6407703378935318,0.6879736339560438,0.5117461699732101,0.7474581442012929,0.5243422283938496,0.5074563354317019,0.638109464857849,0.6443257217440685,0.6604318888884841,0.5151365993082734,0.5734222879761278,1.0,0.5133156241700926,0.5998537841893924,0.6654026803492815,0.7320159560687162,0.7418364791798399,0.8230141415496415
Portuguese,0.8210584602425887,0.8333632212231022,0.9583840838798325,0.9523814756202675,0.9966933190025518,0.6525019689632395,0.9913698942846699,0.9952407282910173,0.8112624249150565,0.8456432848039737,0.8109885242022523,0.9932261262222338,0.7080078609646042,0.5133156241700926,1.0,0.8426649503550274,0.8957762569834815,0.670613140301291,0.6758240564799133,0.673449670990628
Russian,0.94389911300083,0.9841268651489262,0.8794603944867937,0.908347347765042,0.8423506409161546,0.8446862693861407,0.8403295747164227,0.837045754682894,0.8139853663066439,0.9457807554514577,0.916512079523764,0.8305880787910495,0.7141919486257435,0.5998537841893924,0.8426649503550274,1.0,0.9414191872743798,0.6831056457610987,0.7910830374936767,0.7954353315181741
Swedish,0.9061599313514133,0.9378070945620165,0.9303044779288296,0.9624714253661254,0.9011375310461551,0.846896339914078,0.8964745122597505,0.8939816660874266,0.8874972488678047,0.9400224008140168,0.970524888279197,0.8945853954520704,0.7544154105467598,0.6654026803492815,0.8957762569834815,0.9414191872743798,1.0,0.8036640307014628,0.8246242190835242,0.8064343810404604
