,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,0.0,0.10387127244320447,0.17669324222619154,0.1522420669922926,0.16663590096773923,0.20888902557907355,0.1756626453291923,0.1759697010649458,0.1835279540640408,0.11597484125582941,0.13983045571489722,0.1719815468344824,0.21342657453797875,0.27277673742077185,0.17391644446422125,0.09624132056337614,0.12480211616551642,0.21184510804072507,0.2226847407080085,0.21227678598437386
Czech,0.10387127244320447,0.0,0.13157756595117864,0.11118063863860052,0.16099038427930276,0.14705737869412538,0.15854937875113503,0.16661545441297143,0.1644873995908518,0.09395409018748205,0.10325471482767187,0.16144145392522805,0.23331123631131134,0.2412966696608115,0.16136783973703575,0.050030845591762504,0.09038542734040124,0.19877909867427132,0.16756902615249197,0.16137424487401333
German,0.17669324222619154,0.13157756595117864,0.0,0.060343523652858104,0.08875068731183489,0.16375345568806682,0.0766426480468908,0.08987141510779346,0.16535870296903274,0.12197924380451336,0.13404605435491423,0.08456218217497383,0.24652809667660028,0.22570765851445304,0.08436773912812726,0.13252190485686083,0.09597621276186412,0.1940354582989259,0.1737190230463739,0.16541897489014717
English,0.1522420669922926,0.11118063863860052,0.060343523652858104,0.0,0.09250093413037738,0.15910461227574008,0.0894456038009083,0.09704656664033906,0.12241445134865264,0.11239201164308033,0.10762325444869941,0.09014972784283687,0.2046512187487139,0.20652583430820043,0.09217591314993498,0.11518249122694124,0.06798417932003721,0.16110284962465174,0.15630728439216948,0.14605840906467696
Spanish,0.16663590096773923,0.16099038427930276,0.08875068731183489,0.09250093413037738,0.0,0.22673022003661988,0.044557536923689196,0.032294673393536893,0.16368357674123454,0.1525027259617909,0.16397600483905142,0.0392113640590557,0.22858470989148982,0.27467143233096347,0.02394305833396627,0.15753289034401588,0.12405163985649456,0.2071598952395613,0.22258548771264633,0.21820233330051791
Finnish,0.20888902557907355,0.14705737869412538,0.16375345568806682,0.15910461227574008,0.22673022003661988,0.0,0.21619747635187908,0.2289597110561985,0.18554275767478062,0.14378651347849852,0.13074540797945994,0.22469991403487594,0.2889146562361372,0.1854609770764742,0.22745404748099587,0.14820911689317864,0.13628626704007,0.19859979990170218,0.0948313706499241,0.15365990703247137
French,0.1756626453291923,0.15854937875113503,0.0766426480468908,0.0894456038009083,0.044557536923689196,0.21619747635187908,0.0,0.04254576957373837,0.17400911092877994,0.1483806950152972,0.16305022220827078,0.04922827868249273,0.2449335832606739,0.2671999804490535,0.039381075798116394,0.1561506385342185,0.12289039542410217,0.20922112442930885,0.21349017859918595,0.21045237998302277
Galician,0.1759697010649458,0.16661545441297143,0.08987141510779346,0.09704656664033906,0.032294673393536893,0.2289597110561985,0.04254576957373837,0.0,0.17250061532073555,0.15746487765543732,0.1703514337269624,0.04075418188787303,0.23460062636482426,0.2788861486173281,0.02831112096098995,0.16212120658974508,0.13096886835694038,0.21496261972890987,0.22251888202268513,0.22146805707451558
Hindi,0.1835279540640408,0.1644873995908518,0.16535870296903274,0.12241445134865264,0.16368357674123454,0.18554275767478062,0.17400911092877994,0.17250061532073555,0.0,0.1667987208924364,0.12204343717505169,0.17270229361315964,0.171729212102546,0.22541813722759996,0.17116873293952367,0.16367592529869435,0.1201591199377862,0.14590501528832447,0.1694102587558423,0.17782519515893333
Indonesian,0.11597484125582941,0.09395409018748205,0.12197924380451336,0.11239201164308033,0.1525027259617909,0.14378651347849852,0.1483806950152972,0.15746487765543732,0.1667987208924364,0.0,0.09154586601590341,0.15568584488244802,0.22042725117838632,0.2192176639018347,0.15478528900419014,0.09050810544659069,0.08509481130889107,0.17476373756777144,0.17435454477503137,0.14448597955688455
Icelandic,0.13983045571489722,0.10325471482767187,0.13404605435491423,0.10762325444869941,0.16397600483905142,0.13074540797945994,0.16305022220827078,0.1703514337269624,0.12204343717505169,0.09154586601590341,0.0,0.169591042506814,0.20587030290339559,0.21251397419946663,0.16975860397166054,0.11075627361424557,0.05904302350679978,0.14368123713011813,0.14977679227377522,0.14503551623437774
Italian,0.1719815468344824,0.16144145392522805,0.08456218217497383,0.09014972784283687,0.0392113640590557,0.22469991403487594,0.04922827868249273,0.04075418188787303,0.17270229361315964,0.15568584488244802,0.169591042506814,0.0,0.23553312069857266,0.2724494403833019,0.03416562340368414,0.16247509230919235,0.12644962941525137,0.21238921361576724,0.2183941570519131,0.21919420709299703
Japanese,0.21342657453797875,0.23331123631131134,0.24652809667660028,0.2046512187487139,0.22858470989148982,0.2889146562361372,0.2449335832606739,0.23460062636482426,0.171729212102546,0.22042725117838632,0.20587030290339559,0.23553312069857266,0.0,0.27738419409483417,0.2356490971560547,0.22986385830144238,0.21129931402199553,0.21158865285134773,0.2924351663903227,0.22281096439082557
Korean,0.27277673742077185,0.2412966696608115,0.22570765851445304,0.20652583430820043,0.27467143233096347,0.1854609770764742,0.2671999804490535,0.2788861486173281,0.22541813722759996,0.2192176639018347,0.21251397419946663,0.2724494403833019,0.27738419409483417,0.0,0.27703739082228157,0.2442571548263786,0.2120187587099981,0.18603840766393182,0.18971812737911267,0.1544700798831895
Portuguese,0.17391644446422125,0.16136783973703575,0.08436773912812726,0.09217591314993498,0.02394305833396627,0.22745404748099587,0.039381075798116394,0.02831112096098995,0.17116873293952367,0.15478528900419014,0.16975860397166054,0.03416562340368414,0.2356490971560547,0.27703739082228157,0.0,0.1591963669203812,0.12979849964024598,0.21701468798628876,0.22204229842708106,0.21861020440864676
Russian,0.09624132056337614,0.050030845591762504,0.13252190485686083,0.11518249122694124,0.15753289034401588,0.14820911689317864,0.1561506385342185,0.16212120658974508,0.16367592529869435,0.09050810544659069,0.11075627361424557,0.16247509230919235,0.22986385830144238,0.2442571548263786,0.1591963669203812,0.0,0.09404773872071298,0.20416353061699696,0.17276423973503285,0.16799902874045963
Swedish,0.12480211616551642,0.09038542734040124,0.09597621276186412,0.06798417932003721,0.12405163985649456,0.13628626704007,0.12289039542410217,0.13096886835694038,0.1201591199377862,0.08509481130889107,0.05904302350679978,0.12644962941525137,0.21129931402199553,0.2120187587099981,0.12979849964024598,0.09404773872071298,0.0,0.14792048156912022,0.14866859102267868,0.1502783429724002
Thai,0.21184510804072507,0.19877909867427132,0.1940354582989259,0.16110284962465174,0.2071598952395613,0.19859979990170218,0.20922112442930885,0.21496261972890987,0.14590501528832447,0.17476373756777144,0.14368123713011813,0.21238921361576724,0.21158865285134773,0.18603840766393182,0.21701468798628876,0.20416353061699696,0.14792048156912022,0.0,0.20022703147781828,0.15868511504207827
Turkish,0.2226847407080085,0.16756902615249197,0.1737190230463739,0.15630728439216948,0.22258548771264633,0.0948313706499241,0.21349017859918595,0.22251888202268513,0.1694102587558423,0.17435454477503137,0.14977679227377522,0.2183941570519131,0.2924351663903227,0.18971812737911267,0.22204229842708106,0.17276423973503285,0.14866859102267868,0.20022703147781828,0.0,0.18126702033080724
Chinese,0.21227678598437386,0.16137424487401333,0.16541897489014717,0.14605840906467696,0.21820233330051791,0.15365990703247137,0.21045237998302277,0.22146805707451558,0.17782519515893333,0.14448597955688455,0.14503551623437774,0.21919420709299703,0.22281096439082557,0.1544700798831895,0.21861020440864676,0.16799902874045963,0.1502783429724002,0.15868511504207827,0.18126702033080724,0.0
