,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,NO,Nenets,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Afrikaans,0.0000,0.2517,0.4420,0.1631,0.2270,0.1835,0.2243,0.1987,0.1999,0.1509,0.2285,0.3516,0.1871,0.2084,0.2782,0.2039,0.6371,0.2339,0.4267,0.2030,0.4161,0.2066,0.1652,0.1896,0.2005,0.2015,0.2594,0.3346,0.2148,0.4432,0.4637,0.2216,0.2414
Arabic,0.2517,0.0000,0.4971,0.0863,0.1152,0.0659,0.1469,0.0511,0.0444,0.1556,0.0160,0.5500,0.0668,0.0537,0.0239,0.0456,0.8813,0.3156,0.7203,0.0773,0.6923,0.0449,0.0823,0.3586,0.0427,0.0786,0.1450,0.6621,0.0224,0.6852,0.7153,0.0432,0.3898
Chinese,0.4420,0.4971,0.0000,0.4304,0.4192,0.4337,0.3600,0.4572,0.4693,0.3987,0.4715,0.3110,0.4469,0.4444,0.4830,0.4585,0.3074,0.3159,0.2582,0.4350,0.3283,0.4614,0.4260,0.3998,0.4677,0.4435,0.5430,0.3527,0.4681,0.2773,0.2644,0.4366,0.2758
Czech,0.1631,0.0863,0.4304,0.0000,0.0674,0.0373,0.0931,0.0472,0.0355,0.0664,0.0617,0.4387,0.0255,0.0485,0.0917,0.0360,0.8141,0.1978,0.6236,0.0728,0.6208,0.0459,0.0176,0.2969,0.0384,0.0387,0.1871,0.5717,0.0871,0.5932,0.6280,0.0432,0.2926
English,0.2270,0.1152,0.4192,0.0674,0.0000,0.0402,0.0975,0.0705,0.0582,0.0795,0.0925,0.4694,0.0444,0.0695,0.1345,0.0561,0.8420,0.2489,0.6498,0.0906,0.6648,0.0625,0.0534,0.4176,0.0566,0.0236,0.2291,0.6178,0.1077,0.6878,0.6566,0.0833,0.3362
Faroese,0.1835,0.0659,0.4337,0.0373,0.0402,0.0000,0.0911,0.0395,0.0391,0.0646,0.0558,0.4494,0.0070,0.0568,0.0833,0.0315,0.8120,0.2243,0.6254,0.0541,0.6124,0.0341,0.0176,0.3290,0.0330,0.0180,0.2029,0.5795,0.0669,0.6075,0.6286,0.0480,0.3025
Finnish,0.2243,0.1469,0.3600,0.0931,0.0975,0.0911,0.0000,0.1317,0.1130,0.1414,0.1460,0.3507,0.0902,0.1120,0.1472,0.1128,0.6768,0.1111,0.5414,0.1395,0.4853,0.1213,0.0928,0.3034,0.1117,0.0731,0.2118,0.4724,0.1474,0.5383,0.5445,0.1418,0.2563
French,0.1987,0.0511,0.4572,0.0472,0.0705,0.0395,0.1317,0.0000,0.0090,0.1071,0.0300,0.5158,0.0303,0.0168,0.0817,0.0075,0.8517,0.2430,0.6836,0.0317,0.6800,0.0079,0.0375,0.3889,0.0112,0.0406,0.2168,0.6456,0.0508,0.6356,0.6690,0.0210,0.3602
Galician,0.1999,0.0444,0.4693,0.0355,0.0582,0.0391,0.1130,0.0090,0.0000,0.0979,0.0226,0.4994,0.0291,0.0071,0.0717,0.0021,0.8631,0.2433,0.6803,0.0576,0.6580,0.0046,0.0331,0.3640,0.0050,0.0348,0.2035,0.6244,0.0441,0.6552,0.6852,0.0147,0.3442
German,0.1509,0.1556,0.3987,0.0664,0.0795,0.0646,0.1414,0.1071,0.0979,0.0000,0.1246,0.2945,0.0657,0.1032,0.1832,0.0954,0.6874,0.1995,0.4850,0.1530,0.5256,0.1017,0.0786,0.2663,0.0983,0.0812,0.2859,0.4773,0.1222,0.5020,0.4916,0.1101,0.1996
Hebrew,0.2285,0.0160,0.4715,0.0617,0.0925,0.0558,0.1460,0.0300,0.0226,0.1246,0.0000,0.5175,0.0558,0.0239,0.0528,0.0243,0.8709,0.2744,0.6966,0.0697,0.6739,0.0238,0.0602,0.3437,0.0262,0.0675,0.1873,0.6425,0.0175,0.6597,0.6968,0.0165,0.3563
Hindi,0.3516,0.5500,0.3110,0.4387,0.4694,0.4494,0.3507,0.5158,0.4994,0.2945,0.5175,0.0000,0.4726,0.4833,0.5569,0.4977,0.1835,0.2748,0.1010,0.5600,0.1419,0.4957,0.4468,0.1750,0.4864,0.4763,0.5806,0.1464,0.4760,0.1337,0.1077,0.4955,0.0919
Icelandic,0.1871,0.0668,0.4469,0.0255,0.0444,0.0070,0.0902,0.0303,0.0291,0.0657,0.0558,0.4726,0.0000,0.0455,0.0832,0.0234,0.8425,0.2248,0.6570,0.0494,0.6422,0.0287,0.0194,0.3502,0.0293,0.0125,0.2048,0.6049,0.0674,0.6327,0.6601,0.0412,0.3323
Indonesian,0.2084,0.0537,0.4444,0.0485,0.0695,0.0568,0.1120,0.0168,0.0071,0.1032,0.0239,0.4833,0.0455,0.0000,0.0904,0.0114,0.8311,0.2130,0.6634,0.0705,0.6306,0.0131,0.0543,0.3685,0.0174,0.0497,0.2214,0.6117,0.0418,0.6417,0.6755,0.0218,0.3343
Irish,0.2782,0.0239,0.4830,0.0917,0.1345,0.0833,0.1472,0.0817,0.0717,0.1832,0.0528,0.5569,0.0832,0.0904,0.0000,0.0728,0.8721,0.3412,0.7202,0.1045,0.6910,0.0740,0.0948,0.3472,0.0660,0.0989,0.0992,0.6626,0.0691,0.6952,0.7134,0.0628,0.4028
Italian,0.2039,0.0456,0.4585,0.0360,0.0561,0.0315,0.1128,0.0075,0.0021,0.0954,0.0243,0.4977,0.0234,0.0114,0.0728,0.0000,0.8610,0.2461,0.6789,0.0519,0.6533,0.0016,0.0270,0.3677,0.0029,0.0312,0.2114,0.6215,0.0496,0.6515,0.6819,0.0127,0.3415
Japanese,0.6371,0.8813,0.3074,0.8141,0.8420,0.8120,0.6768,0.8517,0.8631,0.6874,0.8709,0.1835,0.8425,0.8311,0.8721,0.8610,0.0000,0.5087,0.0927,0.8437,0.1335,0.8557,0.8060,0.4483,0.8483,0.8531,0.8238,0.2270,0.8037,0.1093,0.0949,0.8578,0.3220
Komi_Zyrian,0.2339,0.3156,0.3159,0.1978,0.2489,0.2243,0.1111,0.2430,0.2433,0.1995,0.2744,0.2748,0.2248,0.2130,0.3412,0.2461,0.5087,0.0000,0.4325,0.2420,0.3886,0.2547,0.2131,0.3202,0.2534,0.2196,0.3726,0.4257,0.2713,0.3890,0.4226,0.2732,0.2022
Korean,0.4267,0.7203,0.2582,0.6236,0.6498,0.6254,0.5414,0.6836,0.6803,0.4850,0.6966,0.1010,0.6570,0.6634,0.7202,0.6789,0.0927,0.4325,0.0000,0.7054,0.1050,0.6727,0.6210,0.2461,0.6673,0.6678,0.7195,0.0846,0.6452,0.0660,0.0491,0.6715,0.1734
NO,0.2030,0.0773,0.4350,0.0728,0.0906,0.0541,0.1395,0.0317,0.0576,0.1530,0.0697,0.5600,0.0494,0.0705,0.1045,0.0519,0.8437,0.2420,0.7054,0.0000,0.7144,0.0559,0.0566,0.4207,0.0552,0.0480,0.1840,0.6753,0.0816,0.6290,0.6645,0.0714,0.3947
Nenets,0.4161,0.6923,0.3283,0.6208,0.6648,0.6124,0.4853,0.6800,0.6580,0.5256,0.6739,0.1419,0.6422,0.6306,0.6910,0.6533,0.1335,0.3886,0.1050,0.7144,0.0000,0.6460,0.6093,0.2544,0.6454,0.6535,0.6547,0.0861,0.6282,0.1799,0.1987,0.6492,0.1973
Portuguese,0.2066,0.0449,0.4614,0.0459,0.0625,0.0341,0.1213,0.0079,0.0046,0.1017,0.0238,0.4957,0.0287,0.0131,0.0740,0.0016,0.8557,0.2547,0.6727,0.0559,0.6460,0.0000,0.0318,0.3656,0.0030,0.0382,0.2206,0.6141,0.0505,0.6472,0.6791,0.0133,0.3417
Russian,0.1652,0.0823,0.4260,0.0176,0.0534,0.0176,0.0928,0.0375,0.0331,0.0786,0.0602,0.4468,0.0194,0.0543,0.0948,0.0270,0.8060,0.2131,0.6210,0.0566,0.6093,0.0318,0.0000,0.3174,0.0248,0.0307,0.2075,0.5685,0.0891,0.5889,0.6200,0.0421,0.2953
Sanskrit,0.1896,0.3586,0.3998,0.2969,0.4176,0.3290,0.3034,0.3889,0.3640,0.2663,0.3437,0.1750,0.3502,0.3685,0.3472,0.3677,0.4483,0.3202,0.2461,0.4207,0.2544,0.3656,0.3174,0.0000,0.3585,0.3754,0.3587,0.1687,0.3258,0.2375,0.2831,0.3389,0.1320
Spanish,0.2005,0.0427,0.4677,0.0384,0.0566,0.0330,0.1117,0.0112,0.0050,0.0983,0.0262,0.4864,0.0293,0.0174,0.0660,0.0029,0.8483,0.2534,0.6673,0.0552,0.6454,0.0030,0.0248,0.3585,0.0000,0.0355,0.1986,0.6092,0.0541,0.6441,0.6683,0.0178,0.3310
Swedish,0.2015,0.0786,0.4435,0.0387,0.0236,0.0180,0.0731,0.0406,0.0348,0.0812,0.0675,0.4763,0.0125,0.0497,0.0989,0.0312,0.8531,0.2196,0.6678,0.0480,0.6535,0.0382,0.0307,0.3754,0.0355,0.0000,0.1941,0.6153,0.0767,0.6587,0.6701,0.0581,0.3296
Tagalog,0.2594,0.1450,0.5430,0.1871,0.2291,0.2029,0.2118,0.2168,0.2035,0.2859,0.1873,0.5806,0.2048,0.2214,0.0992,0.2114,0.8238,0.3726,0.7195,0.1840,0.6547,0.2206,0.2075,0.3587,0.1986,0.1941,0.0000,0.6650,0.1809,0.7209,0.7118,0.2176,0.4132
Tamil,0.3346,0.6621,0.3527,0.5717,0.6178,0.5795,0.4724,0.6456,0.6244,0.4773,0.6425,0.1464,0.6049,0.6117,0.6626,0.6215,0.2270,0.4257,0.0846,0.6753,0.0861,0.6141,0.5685,0.1687,0.6092,0.6153,0.6650,0.0000,0.6117,0.1687,0.1796,0.6148,0.2193
Thai,0.2148,0.0224,0.4681,0.0871,0.1077,0.0669,0.1474,0.0508,0.0441,0.1222,0.0175,0.4760,0.0674,0.0418,0.0691,0.0496,0.8037,0.2713,0.6452,0.0816,0.6282,0.0505,0.0891,0.3258,0.0541,0.0767,0.1809,0.6117,0.0000,0.6119,0.6439,0.0459,0.3419
Turkish,0.4432,0.6852,0.2773,0.5932,0.6878,0.6075,0.5383,0.6356,0.6552,0.5020,0.6597,0.1337,0.6327,0.6417,0.6952,0.6515,0.1093,0.3890,0.0660,0.6290,0.1799,0.6472,0.5889,0.2375,0.6441,0.6587,0.7209,0.1687,0.6119,0.0000,0.0356,0.6408,0.1898
Uzbek,0.4637,0.7153,0.2644,0.6280,0.6566,0.6286,0.5445,0.6690,0.6852,0.4916,0.6968,0.1077,0.6601,0.6755,0.7134,0.6819,0.0949,0.4226,0.0491,0.6645,0.1987,0.6791,0.6200,0.2831,0.6683,0.6701,0.7118,0.1796,0.6439,0.0356,0.0000,0.6779,0.1890
Vietnamese,0.2216,0.0432,0.4366,0.0432,0.0833,0.0480,0.1418,0.0210,0.0147,0.1101,0.0165,0.4955,0.0412,0.0218,0.0628,0.0127,0.8578,0.2732,0.6715,0.0714,0.6492,0.0133,0.0421,0.3389,0.0178,0.0581,0.2176,0.6148,0.0459,0.6408,0.6779,0.0000,0.3463
Yakut,0.2414,0.3898,0.2758,0.2926,0.3362,0.3025,0.2563,0.3602,0.3442,0.1996,0.3563,0.0919,0.3323,0.3343,0.4028,0.3415,0.3220,0.2022,0.1734,0.3947,0.1973,0.3417,0.2953,0.1320,0.3310,0.3296,0.4132,0.2193,0.3419,0.1898,0.1890,0.3463,0.0000
