,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Afrikaans,0.0000,0.3341,0.3914,0.2339,0.2659,0.2714,0.3858,0.2568,0.2633,0.1821,0.2942,0.4152,0.2677,0.2782,0.3695,0.2570,0.6145,0.3536,0.4232,0.3959,0.2413,0.2628,0.2284,0.3540,0.2545,0.2871,0.3465,0.5337,0.3118,0.5117,0.4742,0.3107,0.4248
Arabic,0.3341,0.0000,0.3542,0.1188,0.1130,0.0876,0.2598,0.0966,0.0732,0.1384,0.0290,0.5738,0.0836,0.1026,0.0510,0.0795,0.7800,0.2920,0.6098,0.5535,0.0840,0.0784,0.1040,0.4956,0.0804,0.0924,0.1449,0.6686,0.0727,0.6731,0.6344,0.0978,0.5177
Chinese,0.3914,0.3542,0.0000,0.2826,0.2320,0.2496,0.2077,0.3074,0.2822,0.2661,0.2834,0.3402,0.2552,0.2845,0.3779,0.2801,0.4949,0.2870,0.3077,0.4017,0.2724,0.2917,0.2367,0.3765,0.2932,0.2331,0.4644,0.4129,0.3072,0.4035,0.4643,0.2706,0.3413
Czech,0.2339,0.1188,0.2826,0.0000,0.0551,0.0601,0.1964,0.0471,0.0430,0.0421,0.0776,0.4749,0.0580,0.0836,0.1468,0.0386,0.6882,0.2148,0.4694,0.5526,0.0679,0.0529,0.0266,0.4502,0.0393,0.0593,0.2202,0.6038,0.1164,0.5895,0.5837,0.1018,0.4460
English,0.2659,0.1130,0.2320,0.0551,0.0000,0.0105,0.1887,0.0520,0.0354,0.0730,0.0676,0.5177,0.0135,0.0596,0.1491,0.0375,0.7389,0.2314,0.5386,0.5508,0.0235,0.0371,0.0157,0.5184,0.0476,0.0114,0.2373,0.6647,0.0737,0.6411,0.6434,0.0568,0.4823
Faroese,0.2714,0.0876,0.2496,0.0601,0.0105,0.0000,0.1925,0.0606,0.0438,0.0746,0.0597,0.5314,0.0030,0.0715,0.1088,0.0456,0.7372,0.2587,0.5417,0.5281,0.0215,0.0448,0.0185,0.5180,0.0563,0.0071,0.1938,0.6616,0.0736,0.6427,0.6283,0.0670,0.4982
Finnish,0.3858,0.2598,0.2077,0.1964,0.1887,0.1925,0.0000,0.2181,0.2063,0.2263,0.2399,0.2797,0.1951,0.2134,0.2797,0.2066,0.4233,0.0923,0.3541,0.3756,0.1834,0.2152,0.1881,0.3043,0.2084,0.1674,0.3137,0.3828,0.2283,0.3676,0.3975,0.2594,0.2507
French,0.2568,0.0966,0.3074,0.0471,0.0520,0.0606,0.2181,0.0000,0.0108,0.0834,0.0547,0.5168,0.0611,0.0561,0.1539,0.0046,0.7389,0.2368,0.5376,0.6158,0.0574,0.0067,0.0421,0.5189,0.0063,0.0627,0.2668,0.6599,0.0806,0.6408,0.6341,0.0576,0.4732
Galician,0.2633,0.0732,0.2822,0.0430,0.0354,0.0438,0.2063,0.0108,0.0000,0.0756,0.0327,0.5183,0.0417,0.0325,0.1245,0.0033,0.7412,0.2348,0.5413,0.5739,0.0467,0.0047,0.0330,0.5127,0.0075,0.0432,0.2295,0.6687,0.0556,0.6435,0.6326,0.0333,0.4728
German,0.1821,0.1384,0.2661,0.0421,0.0730,0.0746,0.2263,0.0834,0.0756,0.0000,0.1000,0.3792,0.0670,0.0979,0.1775,0.0751,0.6180,0.2253,0.3880,0.4763,0.0857,0.0879,0.0544,0.4049,0.0788,0.0746,0.2618,0.5357,0.1259,0.4940,0.4992,0.1277,0.3766
Hebrew,0.2942,0.0290,0.2834,0.0776,0.0676,0.0597,0.2399,0.0547,0.0327,0.1000,0.0000,0.5445,0.0600,0.0484,0.0830,0.0375,0.7537,0.2675,0.5660,0.5464,0.0674,0.0417,0.0626,0.4959,0.0450,0.0638,0.1773,0.6466,0.0423,0.6616,0.6372,0.0411,0.4931
Hindi,0.4152,0.5738,0.3402,0.4749,0.5177,0.5314,0.2797,0.5168,0.5183,0.3792,0.5445,0.0000,0.5229,0.5087,0.6100,0.5139,0.1893,0.2818,0.1322,0.2723,0.5136,0.5218,0.4788,0.1385,0.5065,0.5144,0.6192,0.1497,0.5524,0.0736,0.1379,0.5620,0.0641
Icelandic,0.2677,0.0836,0.2552,0.0580,0.0135,0.0030,0.1951,0.0611,0.0417,0.0670,0.0600,0.5229,0.0000,0.0680,0.1039,0.0459,0.7393,0.2593,0.5469,0.5248,0.0226,0.0447,0.0216,0.5097,0.0576,0.0082,0.1902,0.6656,0.0694,0.6422,0.6290,0.0657,0.4952
Indonesian,0.2782,0.1026,0.2845,0.0836,0.0596,0.0715,0.2134,0.0561,0.0325,0.0979,0.0484,0.5087,0.0680,0.0000,0.1354,0.0414,0.7366,0.2270,0.5473,0.5469,0.0758,0.0418,0.0652,0.4870,0.0521,0.0697,0.2181,0.6581,0.0442,0.6300,0.6176,0.0440,0.4757
Irish,0.3695,0.0510,0.3779,0.1468,0.1491,0.1088,0.2797,0.1539,0.1245,0.1775,0.0830,0.6100,0.1039,0.1354,0.0000,0.1294,0.7919,0.3506,0.6348,0.5311,0.1063,0.1263,0.1321,0.4777,0.1360,0.1205,0.0799,0.6800,0.1310,0.6989,0.6580,0.1442,0.5691
Italian,0.2570,0.0795,0.2801,0.0386,0.0375,0.0456,0.2066,0.0046,0.0033,0.0751,0.0375,0.5139,0.0459,0.0414,0.1294,0.0000,0.7366,0.2360,0.5358,0.5810,0.0458,0.0039,0.0288,0.5054,0.0029,0.0474,0.2386,0.6587,0.0672,0.6393,0.6290,0.0393,0.4703
Japanese,0.6145,0.7800,0.4949,0.6882,0.7389,0.7372,0.4233,0.7389,0.7412,0.6180,0.7537,0.1893,0.7393,0.7366,0.7919,0.7366,0.0000,0.4487,0.1340,0.2220,0.7309,0.7436,0.6940,0.2716,0.7280,0.7371,0.7828,0.1372,0.7493,0.0910,0.1382,0.7671,0.1997
Komi_Zyrian,0.3536,0.2920,0.2870,0.2148,0.2314,0.2587,0.0923,0.2368,0.2348,0.2253,0.2675,0.2818,0.2593,0.2270,0.3506,0.2360,0.4487,0.0000,0.3662,0.4265,0.2235,0.2452,0.2234,0.2947,0.2290,0.2292,0.3729,0.3920,0.2496,0.3763,0.3899,0.2846,0.2165
Korean,0.4232,0.6098,0.3077,0.4694,0.5386,0.5417,0.3541,0.5376,0.5413,0.3880,0.5660,0.1322,0.5469,0.5473,0.6348,0.5358,0.1340,0.3662,0.0000,0.2855,0.5445,0.5450,0.4877,0.2430,0.5271,0.5384,0.6766,0.1363,0.5675,0.0631,0.1388,0.5913,0.1705
Nenets,0.3959,0.5535,0.4017,0.5526,0.5508,0.5281,0.3756,0.6158,0.5739,0.4763,0.5464,0.2723,0.5248,0.5469,0.5311,0.5810,0.2220,0.4265,0.2855,0.0000,0.5260,0.5873,0.5183,0.2682,0.5797,0.5384,0.4884,0.2739,0.5634,0.2400,0.1719,0.5530,0.2737
Norwegian,0.2413,0.0840,0.2724,0.0679,0.0235,0.0215,0.1834,0.0574,0.0467,0.0857,0.0674,0.5136,0.0226,0.0758,0.1063,0.0458,0.7309,0.2235,0.5445,0.5260,0.0000,0.0446,0.0309,0.4669,0.0544,0.0221,0.1735,0.6407,0.0736,0.6331,0.6089,0.0802,0.4701
Portuguese,0.2628,0.0784,0.2917,0.0529,0.0371,0.0448,0.2152,0.0067,0.0047,0.0879,0.0417,0.5218,0.0447,0.0418,0.1263,0.0039,0.7436,0.2452,0.5450,0.5873,0.0446,0.0000,0.0340,0.5127,0.0076,0.0496,0.2415,0.6657,0.0605,0.6430,0.6355,0.0361,0.4793
Russian,0.2284,0.1040,0.2367,0.0266,0.0157,0.0185,0.1881,0.0421,0.0330,0.0544,0.0626,0.4788,0.0216,0.0652,0.1321,0.0288,0.6940,0.2234,0.4877,0.5183,0.0309,0.0340,0.0000,0.4681,0.0330,0.0273,0.2171,0.6244,0.0891,0.5973,0.5907,0.0660,0.4472
Sanskrit,0.3540,0.4956,0.3765,0.4502,0.5184,0.5180,0.3043,0.5189,0.5127,0.4049,0.4959,0.1385,0.5097,0.4870,0.4777,0.5054,0.2716,0.2947,0.2430,0.2682,0.4669,0.5127,0.4681,0.0000,0.5014,0.5082,0.4356,0.1407,0.5072,0.1854,0.1965,0.5289,0.1598
Spanish,0.2545,0.0804,0.2932,0.0393,0.0476,0.0563,0.2084,0.0063,0.0075,0.0788,0.0450,0.5065,0.0576,0.0521,0.1360,0.0029,0.7280,0.2290,0.5271,0.5797,0.0544,0.0076,0.0330,0.5014,0.0000,0.0591,0.2445,0.6582,0.0781,0.6285,0.6185,0.0509,0.4591
Swedish,0.2871,0.0924,0.2331,0.0593,0.0114,0.0071,0.1674,0.0627,0.0432,0.0746,0.0638,0.5144,0.0082,0.0697,0.1205,0.0474,0.7371,0.2292,0.5384,0.5384,0.0221,0.0496,0.0273,0.5082,0.0591,0.0000,0.1906,0.6624,0.0777,0.6407,0.6255,0.0749,0.4776
Tagalog,0.3465,0.1449,0.4644,0.2202,0.2373,0.1938,0.3137,0.2668,0.2295,0.2618,0.1773,0.6192,0.1902,0.2181,0.0799,0.2386,0.7828,0.3729,0.6766,0.4884,0.1735,0.2415,0.2171,0.4356,0.2445,0.1906,0.0000,0.7129,0.2282,0.7279,0.6457,0.2712,0.5938
Tamil,0.5337,0.6686,0.4129,0.6038,0.6647,0.6616,0.3828,0.6599,0.6687,0.5357,0.6466,0.1497,0.6656,0.6581,0.6800,0.6587,0.1372,0.3920,0.1363,0.2739,0.6407,0.6657,0.6244,0.1407,0.6582,0.6624,0.7129,0.0000,0.6451,0.0786,0.1439,0.6805,0.1656
Thai,0.3118,0.0727,0.3072,0.1164,0.0737,0.0736,0.2283,0.0806,0.0556,0.1259,0.0423,0.5524,0.0694,0.0442,0.1310,0.0672,0.7493,0.2496,0.5675,0.5634,0.0736,0.0605,0.0891,0.5072,0.0781,0.0777,0.2282,0.6451,0.0000,0.6573,0.6537,0.0526,0.5032
Turkish,0.5117,0.6731,0.4035,0.5895,0.6411,0.6427,0.3676,0.6408,0.6435,0.4940,0.6616,0.0736,0.6422,0.6300,0.6989,0.6393,0.0910,0.3763,0.0631,0.2400,0.6331,0.6430,0.5973,0.1854,0.6285,0.6407,0.7279,0.0786,0.6573,0.0000,0.0766,0.6876,0.1303
Uzbek,0.4742,0.6344,0.4643,0.5837,0.6434,0.6283,0.3975,0.6341,0.6326,0.4992,0.6372,0.1379,0.6290,0.6176,0.6580,0.6290,0.1382,0.3899,0.1388,0.1719,0.6089,0.6355,0.5907,0.1965,0.6185,0.6255,0.6457,0.1439,0.6537,0.0766,0.0000,0.6641,0.1616
Vietnamese,0.3107,0.0978,0.2706,0.1018,0.0568,0.0670,0.2594,0.0576,0.0333,0.1277,0.0411,0.5620,0.0657,0.0440,0.1442,0.0393,0.7671,0.2846,0.5913,0.5530,0.0802,0.0361,0.0660,0.5289,0.0509,0.0749,0.2712,0.6805,0.0526,0.6876,0.6641,0.0000,0.5074
Yakut,0.4248,0.5177,0.3413,0.4460,0.4823,0.4982,0.2507,0.4732,0.4728,0.3766,0.4931,0.0641,0.4952,0.4757,0.5691,0.4703,0.1997,0.2165,0.1705,0.2737,0.4701,0.4793,0.4472,0.1598,0.4591,0.4776,0.5938,0.1656,0.5032,0.1303,0.1616,0.5074,0.0000
