language,num_sentences,num_tokens,num_unique_forms,num_unique_lemmas,avg_sentence_length,min_sentence_length,max_sentence_length,num_unique_upos,num_unique_deprel
Arabic,1000,20747,6801,4785,20.75,3,54,16,39
Czech,1000,18609,7891,5318,18.61,3,50,15,43
German,1000,21332,6716,5385,21.33,4,56,16,45
English,1000,21180,5731,4665,21.18,4,59,17,47
Spanish,1000,23284,6235,4528,23.28,3,64,17,43
Finnish,1000,15813,7793,4953,15.81,3,46,15,44
French,1000,24726,6175,4629,24.73,4,65,15,44
Galician,1000,23510,6260,4475,23.51,3,71,15,35
Hindi,1000,23829,5151,4420,23.83,4,63,16,38
Indonesian,1000,19446,5112,3725,19.45,3,50,17,47
Icelandic,1000,18833,6753,4837,18.83,4,53,17,35
Italian,1000,23732,6403,4814,23.73,3,68,16,39
Japanese,1000,28788,5221,4904,28.79,4,77,16,25
Korean,1000,16584,8258,2619,16.58,3,48,13,34
Portuguese,1000,23407,6237,3809,23.41,3,64,16,40
Russian,1000,19355,7967,5155,19.36,3,50,17,40
Swedish,1000,19076,6403,5006,19.08,3,51,16,42
Thai,1000,22322,4046,4039,22.32,2,63,16,42
Turkish,1000,16881,7646,4596,16.88,3,42,16,38
Chinese,1000,21415,5478,5446,21.41,3,55,15,44
