,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Afrikaans,0.0000,0.6603,0.6436,0.6802,0.6583,0.6883,0.6528,0.6768,0.6543,0.6580,0.6709,0.6447,0.6357,0.6754,0.7416,0.6420,0.6275,0.7302,0.6549,0.7163,0.8103,0.6713,0.6475,0.7385,0.6404,0.6309,0.7570,0.6722,0.6785,0.6459,0.6882,0.6873,0.8041
Arabic,0.6603,0.0000,0.5944,0.5915,0.5417,0.7000,0.5527,0.5661,0.5535,0.6146,0.7075,0.5807,0.5717,0.5467,0.7478,0.5467,0.6128,0.7077,0.5436,0.8002,0.8149,0.5500,0.5545,0.7680,0.5217,0.5381,0.7727,0.6772,0.6798,0.5842,0.6685,0.6946,0.8353
Chinese,0.6436,0.5944,0.0000,0.5887,0.4980,0.6643,0.4666,0.5234,0.5525,0.5620,0.6670,0.5438,0.5037,0.4712,0.7571,0.5131,0.5258,0.6811,0.4961,0.7195,0.8073,0.5254,0.5332,0.7473,0.5519,0.5126,0.7241,0.6518,0.5819,0.5178,0.6032,0.6683,0.7746
Czech,0.6802,0.5915,0.5887,0.0000,0.4845,0.6692,0.4990,0.4727,0.4519,0.4991,0.6763,0.5560,0.4855,0.4953,0.7724,0.4522,0.5652,0.7054,0.5299,0.7509,0.8057,0.4834,0.4396,0.7358,0.4565,0.4677,0.7550,0.7070,0.6425,0.5933,0.6519,0.7016,0.8063
English,0.6583,0.5417,0.4980,0.4845,0.0000,0.6395,0.3397,0.3076,0.3887,0.4496,0.6676,0.4645,0.3025,0.3174,0.7578,0.4013,0.5607,0.6590,0.4972,0.7147,0.8184,0.3018,0.4303,0.7469,0.4401,0.2409,0.7289,0.6628,0.5922,0.5806,0.6110,0.6650,0.7954
Faroese,0.6883,0.7000,0.6643,0.6692,0.6395,0.0000,0.6132,0.6619,0.6302,0.6880,0.6327,0.6309,0.6127,0.6722,0.7521,0.6383,0.6748,0.6229,0.5906,0.5608,0.7603,0.6653,0.6666,0.7111,0.6178,0.6436,0.5723,0.6340,0.7621,0.5848,0.5932,0.6833,0.7073
Finnish,0.6528,0.5527,0.4666,0.4990,0.3397,0.6132,0.0000,0.4251,0.4381,0.4799,0.6708,0.4517,0.3796,0.4069,0.7469,0.4341,0.5239,0.6514,0.4610,0.7045,0.8101,0.4077,0.4234,0.7319,0.4506,0.3837,0.7053,0.6488,0.6036,0.5276,0.5751,0.6578,0.7693
French,0.6768,0.5661,0.5234,0.4727,0.3076,0.6619,0.4251,0.0000,0.3416,0.4727,0.6911,0.5139,0.3741,0.3202,0.7530,0.4005,0.5679,0.6781,0.5181,0.7569,0.8068,0.3077,0.3864,0.7186,0.3914,0.3378,0.7676,0.6756,0.6006,0.5955,0.6381,0.6641,0.8133
Galician,0.6543,0.5535,0.5525,0.4519,0.3887,0.6302,0.4381,0.3416,0.0000,0.5361,0.6670,0.5447,0.4319,0.4146,0.7473,0.3615,0.5656,0.6815,0.5123,0.7314,0.8048,0.3230,0.3768,0.7190,0.2151,0.4122,0.7395,0.6744,0.5998,0.5820,0.6436,0.6561,0.8061
German,0.6580,0.6146,0.5620,0.4991,0.4496,0.6880,0.4799,0.4727,0.5361,0.0000,0.7233,0.4830,0.4667,0.5122,0.7881,0.5277,0.5671,0.7038,0.5447,0.7478,0.8403,0.4750,0.4623,0.7525,0.5485,0.4066,0.7714,0.6859,0.6784,0.5702,0.6397,0.7091,0.8152
Hebrew,0.6709,0.7075,0.6670,0.6763,0.6676,0.6327,0.6708,0.6911,0.6670,0.7233,0.0000,0.6939,0.6632,0.6864,0.7557,0.6571,0.6468,0.7058,0.6684,0.6925,0.8119,0.6857,0.6786,0.7645,0.6711,0.6984,0.6690,0.7416,0.7646,0.7056,0.6812,0.6935,0.7990
Hindi,0.6447,0.5807,0.5438,0.5560,0.4645,0.6309,0.4517,0.5139,0.5447,0.4830,0.6939,0.0000,0.5044,0.5264,0.7378,0.5355,0.5028,0.6655,0.4710,0.7181,0.8047,0.5069,0.5231,0.7252,0.5324,0.5159,0.7479,0.6449,0.6746,0.4669,0.5763,0.6703,0.7757
Icelandic,0.6357,0.5717,0.5037,0.4855,0.3025,0.6127,0.3796,0.3741,0.4319,0.4667,0.6632,0.5044,0.0000,0.4108,0.7451,0.4564,0.5691,0.6599,0.5269,0.7078,0.8195,0.3849,0.4180,0.7270,0.4504,0.2800,0.7169,0.6381,0.5836,0.5702,0.6176,0.6710,0.7729
Indonesian,0.6754,0.5467,0.4712,0.4953,0.3174,0.6722,0.4069,0.3202,0.4146,0.5122,0.6864,0.5264,0.4108,0.0000,0.7421,0.4214,0.5914,0.6845,0.5197,0.7564,0.7743,0.3382,0.4212,0.7505,0.4197,0.3708,0.7462,0.6692,0.5761,0.5971,0.6475,0.6705,0.8018
Irish,0.7416,0.7478,0.7571,0.7724,0.7578,0.7521,0.7469,0.7530,0.7473,0.7881,0.7557,0.7378,0.7451,0.7421,0.0000,0.7384,0.7412,0.7659,0.7231,0.8312,0.8853,0.7567,0.7580,0.7696,0.7298,0.7641,0.8163,0.7224,0.7768,0.7345,0.7900,0.7584,0.8717
Italian,0.6420,0.5467,0.5131,0.4522,0.4013,0.6383,0.4341,0.4005,0.3615,0.5277,0.6571,0.5355,0.4564,0.4214,0.7384,0.0000,0.5721,0.6956,0.5129,0.7292,0.8033,0.3528,0.4329,0.7483,0.3763,0.4422,0.7020,0.6548,0.6329,0.5654,0.6640,0.6783,0.7900
Japanese,0.6275,0.6128,0.5258,0.5652,0.5607,0.6748,0.5239,0.5679,0.5656,0.5671,0.6468,0.5028,0.5691,0.5914,0.7412,0.5721,0.0000,0.6977,0.5158,0.7317,0.8160,0.5889,0.5565,0.7397,0.5898,0.5518,0.7492,0.6207,0.6524,0.5429,0.6023,0.6501,0.7862
Komi_Zyrian,0.7302,0.7077,0.6811,0.7054,0.6590,0.6229,0.6514,0.6781,0.6815,0.7038,0.7058,0.6655,0.6599,0.6845,0.7659,0.6956,0.6977,0.0000,0.6862,0.6400,0.7345,0.6532,0.6708,0.7394,0.6801,0.6616,0.6372,0.6578,0.7806,0.6854,0.6288,0.6947,0.7684
Korean,0.6549,0.5436,0.4961,0.5299,0.4972,0.5906,0.4610,0.5181,0.5123,0.5447,0.6684,0.4710,0.5269,0.5197,0.7231,0.5129,0.5158,0.6862,0.0000,0.7101,0.8210,0.5303,0.5057,0.7359,0.5158,0.5182,0.7019,0.6324,0.6361,0.4448,0.6381,0.6812,0.7708
