Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
1,NOUN-NOUN,2587,NOUN-PUNCT,1399,NOUN-NOUN,1591,NOUN-PUNCT,1152,NOUN-PUNCT,1301,NOUN-NOUN,1663,NOUN-NOUN,1650,NOUN-NOUN,1347,NOUN-VERB,1538,VERB-NOUN,1047,NOUN-NOUN,1674,NOUN-NOUN,1561,NOUN-NOUN,2108,NOUN-NOUN,3040,NOUN-NOUN,1614,NOUN-NOUN,1864,NOUN-NOUN,1717,NOUN-NOUN,1158,VERB-NOUN,2045,NOUN-NOUN,1700
2,VERB-NOUN,1151,VERB-NOUN,1320,NOUN-PUNCT,1318,VERB-NOUN,1099,VERB-NOUN,1157,VERB-NOUN,1362,VERB-NOUN,1301,VERB-PUNCT,1132,NOUN-NOUN,1341,NOUN-PUNCT,1043,VERB-NOUN,1298,VERB-NOUN,1269,NOUN-VERB,1620,NOUN-VERB,1045,NOUN-PUNCT,1320,NOUN-PUNCT,1635,VERB-NOUN,1393,VERB-NOUN,1101,NOUN-VERB,1666,NOUN-VERB,964
3,NOUN-PUNCT,1006,NOUN-VERB,1234,VERB-NOUN,934,NOUN-NOUN,982,NOUN-NOUN,984,NOUN-PUNCT,1346,NOUN-PUNCT,1262,NOUN-VERB,1074,VERB-PUNCT,1266,NOUN-NOUN,1032,NOUN-PUNCT,967,NOUN-PUNCT,1151,VERB-PUNCT,1295,NOUN-PUNCT,843,VERB-NOUN,1219,VERB-NOUN,1267,NOUN-PUNCT,1282,NOUN-PUNCT,1064,VERB-VERB,1305,VERB-PUNCT,785
4,NOUN-PRON,580,NOUN-NOUN,639,NOUN-VERB,642,NOUN-VERB,716,NOUN-VERB,854,PRON-VERB,673,NOUN-VERB,713,NOUN-PUNCT,852,NOUN-PUNCT,503,NOUN-VERB,728,PRON-VERB,635,NOUN-VERB,672,NOUN-PUNCT,1131,VERB-NOUN,755,NOUN-VERB,719,NOUN-VERB,636,NOUN-VERB,750,NOUN-VERB,728,NOUN-NOUN,905,NOUN-PUNCT,775
5,NOUN-PROPN,541,VERB-PUNCT,584,NOUN-PROPN,388,PROPN-PUNCT,482,PRON-VERB,438,NOUN-VERB,671,PROPN-PUNCT,472,PUNCT-NOUN,492,PUNCT-NOUN,486,PROPN-PUNCT,352,NOUN-VERB,632,PROPN-PUNCT,543,PUNCT-NOUN,1091,PROPN-NOUN,432,PUNCT-NOUN,494,PROPN-PUNCT,464,PROPN-PUNCT,432,PRON-VERB,521,NOUN-DET,481,PUNCT-NOUN,615
6,PROPN-PUNCT,482,VERB-VERB,526,PROPN-PUNCT,380,PRON-VERB,464,VERB-PUNCT,321,PUNCT-NOUN,491,PUNCT-NOUN,417,VERB-NOUN,402,PRON-NOUN,403,PRON-VERB,337,NOUN-PROPN,617,NOUN-PROPN,509,VERB-NOUN,674,VERB-PUNCT,385,PROPN-PUNCT,475,PRON-VERB,435,PUNCT-NOUN,420,PROPN-PUNCT,316,DET-VERB,408,NOUN-ADJ,428
7,PUNCT-VERB,393,PUNCT-NOUN,466,PUNCT-NOUN,347,PUNCT-NOUN,457,PUNCT-PRON,291,PROPN-PUNCT,422,NOUN-PROPN,412,PRON-NOUN,330,VERB-NOUN,345,PUNCT-NOUN,275,PROPN-PUNCT,587,PUNCT-NOUN,421,PROPN-NOUN,372,NOUN-ADJ,326,NOUN-PROPN,386,PUNCT-VERB,434,NOUN-PROPN,406,NOUN-PROPN,313,PROPN-VERB,362,ADJ-NOUN,384
8,PRON-VERB,344,PUNCT-VERB,390,VERB-PUNCT,334,PROPN-VERB,322,PUNCT-NOUN,280,NOUN-PROPN,367,PRON-VERB,356,PUNCT-PRON,292,PROPN-NOUN,306,VERB-PRON,267,NOUN-PRON,439,PROPN-VERB,355,PUNCT-PROPN,292,NOUN-PROPN,287,PRON-VERB,385,PUNCT-NOUN,425,PRON-VERB,349,PUNCT-NOUN,253,PRON-VERB,309,PROPN-NOUN,288
9,PRON-NOUN,340,PRON-VERB,309,PUNCT-VERB,278,NOUN-PROPN,317,PROPN-VERB,272,PROPN-VERB,250,PUNCT-VERB,345,PROPN-PUNCT,278,VERB-VERB,298,NOUN-PROPN,249,PUNCT-NOUN,430,PUNCT-VERB,287,ADJ-NOUN,275,PUNCT-NOUN,283,PUNCT-VERB,296,NOUN-PROPN,415,PUNCT-VERB,300,PROPN-VERB,235,VERB-PROPN,225,VERB-NOUN,264
10,PROPN-NOUN,321,PART-NOUN,299,ADJ-NOUN,223,PUNCT-VERB,221,PROPN-PUNCT,224,PUNCT-VERB,247,PROPN-VERB,281,NOUN-PROPN,274,NOUN-ADJ,208,PROPN-VERB,234,PROPN-VERB,395,PRON-VERB,257,NOUN-ADJ,273,ADJ-NOUN,231,PROPN-VERB,277,VERB-PUNCT,257,PROPN-VERB,296,VERB-PRON,226,ADP-NOUN,200,PROPN-PUNCT,209
