Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
1,NOUN-NOUN-NOUN,1003,NOUN-NOUN-NOUN,1198,VERB-NOUN-PUNCT,579,NOUN-NOUN-PUNCT,588,NOUN-NOUN-PUNCT,396,NOUN-NOUN-PUNCT,427,VERB-NOUN-PUNCT,508,VERB-NOUN-NOUN,605,VERB-NOUN-NOUN,583,NOUN-VERB-PUNCT,718,NOUN-VERB-NOUN,2973,NOUN-VERB-PUNCT,796,NOUN-NOUN-PUNCT,397,VERB-NOUN-NOUN,549,NOUN-NOUN-NOUN,421,VERB-NOUN-NOUN,549,NOUN-VERB-PUNCT,911,VERB-NOUN-PUNCT,9,NOUN-NOUN-NOUN,1640,NOUN-VERB-PUNCT,119,PRON-VERB-NOUN,142,NOUN-NOUN-PUNCT,583,NOUN-NOUN-PUNCT,746,NOUN-NOUN-NOUN,89,VERB-NOUN-NOUN,620,NOUN-NOUN-PUNCT,434,NOUN-NOUN-PUNCT,39,NOUN-VERB-PUNCT,77,NOUN-VERB-NOUN,734,NOUN-NOUN-NOUN,630,NOUN-VERB-PUNCT,304,NOUN-VERB-NOUN,417,NOUN-NOUN-VERB,71
2,NOUN-VERB-PUNCT,925,VERB-NOUN-NOUN,592,NOUN-VERB-NOUN,492,NOUN-NOUN-NOUN,552,NOUN-VERB-NOUN,388,NOUN-PROPN-PUNCT,187,NOUN-VERB-NOUN,493,NOUN-NOUN-PUNCT,594,NOUN-NOUN-PUNCT,573,NOUN-NOUN-NOUN,414,NOUN-NOUN-PUNCT,2854,NOUN-NOUN-VERB,628,NOUN-VERB-NOUN,397,NOUN-NOUN-NOUN,546,SYM-PROPN-PUNCT,294,NOUN-NOUN-PUNCT,546,NOUN-NOUN-VERB,772,PRON-VERB-PUNCT,9,NOUN-VERB-NOUN,579,NOUN-NOUN-VERB,48,PRON-VERB-PRON,122,VERB-NOUN-NOUN,559,NOUN-NOUN-NOUN,653,NOUN-VERB-PUNCT,76,NOUN-NOUN-PUNCT,578,NOUN-VERB-NOUN,402,VERB-NOUN-NOUN,31,NOUN-NOUN-VERB,75,VERB-NOUN-VERB,729,NOUN-VERB-PUNCT,555,NOUN-NOUN-VERB,238,VERB-NOUN-PUNCT,298,NOUN-VERB-PUNCT,44
3,NOUN-NOUN-VERB,669,NOUN-NOUN-PUNCT,565,VERB-NOUN-VERB,287,VERB-NOUN-NOUN,418,VERB-NOUN-NOUN,363,VERB-NOUN-PUNCT,168,NOUN-NOUN-PUNCT,460,NOUN-NOUN-NOUN,542,NOUN-NOUN-NOUN,556,NOUN-NOUN-VERB,397,VERB-NOUN-NOUN,2424,NOUN-NOUN-NOUN,355,VERB-NOUN-NOUN,359,NOUN-NOUN-PUNCT,400,NOUN-NOUN-PUNCT,294,NOUN-NOUN-NOUN,514,NOUN-NOUN-NOUN,753,NOUN-PUNCT-NOUN,6,NOUN-NOUN-VERB,569,NOUN-NOUN-NOUN,31,PRON-VERB-PUNCT,105,NOUN-NOUN-NOUN,503,VERB-NOUN-NOUN,580,NOUN-NOUN-VERB,65,NOUN-NOUN-NOUN,564,VERB-NOUN-NOUN,399,VERB-NOUN-PUNCT,19,NOUN-NOUN-NOUN,60,VERB-VERB-NOUN,641,NOUN-NOUN-VERB,477,VERB-VERB-PUNCT,190,VERB-NOUN-VERB,241,PRON-NOUN-VERB,34
4,NOUN-NOUN-PUNCT,517,PUNCT-VERB-NOUN,264,NOUN-VERB-PUNCT,259,NOUN-VERB-NOUN,358,VERB-NOUN-PUNCT,335,NOUN-VERB-NOUN,162,VERB-NOUN-NOUN,351,NOUN-VERB-NOUN,408,NOUN-VERB-NOUN,447,NOUN-NOUN-PUNCT,305,NOUN-NOUN-NOUN,1888,NOUN-PUNCT-NOUN,247,VERB-NOUN-PUNCT,318,PRON-VERB-NOUN,339,PROPN-PROPN-PROPN,256,NOUN-VERB-NOUN,427,NOUN-PUNCT-NOUN,568,PUNCT-NOUN-PUNCT,5,NOUN-NOUN-PUNCT,444,NOUN-VERB-NOUN,21,PUNCT-NOUN-PUNCT,93,NOUN-VERB-NOUN,436,VERB-NOUN-PUNCT,480,NOUN-VERB-NOUN,33,NOUN-VERB-NOUN,476,NOUN-NOUN-NOUN,315,PRON-NOUN-PUNCT,12,NOUN-VERB-NOUN,49,NOUN-VERB-VERB,476,NOUN-PUNCT-NOUN,320,NOUN-VERB-VERB,168,VERB-NOUN-NOUN,233,PRON-VERB-PUNCT,30
5,NOUN-VERB-NOUN,378,NOUN-NOUN-PRON,242,NOUN-NOUN-PUNCT,241,VERB-NOUN-PUNCT,323,NOUN-NOUN-NOUN,249,NOUN-NOUN-NOUN,138,PRON-VERB-NOUN,262,VERB-NOUN-PUNCT,388,VERB-NOUN-PUNCT,337,NOUN-PUNCT-NOUN,193,VERB-NOUN-PUNCT,1837,NOUN-VERB-NOUN,236,NOUN-NOUN-NOUN,247,NOUN-VERB-NOUN,329,NOUN-NOUN-PROPN,194,VERB-NOUN-PUNCT,317,PUNCT-NOUN-NOUN,537,NOUN-VERB-NOUN,4,VERB-NOUN-NOUN,362,VERB-PUNCT-NOUN,14,VERB-NOUN-PUNCT,85,VERB-NOUN-PUNCT,338,NOUN-VERB-NOUN,377,NOUN-NOUN-PUNCT,32,VERB-NOUN-PUNCT,362,VERB-NOUN-PUNCT,309,NOUN-NOUN-NOUN,11,PROPN-NOUN-NOUN,43,VERB-NOUN-NOUN,417,PUNCT-NOUN-NOUN,282,NOUN-NOUN-NOUN,132,NOUN-NOUN-PUNCT,198,NOUN-PRON-VERB,22
6,VERB-NOUN-NOUN,375,PRON-VERB-NOUN,225,NOUN-PUNCT-NOUN,234,NOUN-PROPN-PUNCT,186,PRON-VERB-NOUN,239,PROPN-NOUN-PUNCT,97,NOUN-NOUN-NOUN,225,PRON-VERB-NOUN,372,NOUN-PUNCT-NOUN,213,VERB-NOUN-NOUN,178,NOUN-PUNCT-NOUN,1524,NOUN-VERB-VERB,189,PRON-VERB-NOUN,149,VERB-NOUN-PUNCT,275,PROPN-PUNCT-NOUN,191,NOUN-PROPN-PUNCT,217,NOUN-VERB-NOUN,490,PRON-VERB-NOUN,3,NOUN-VERB-PUNCT,294,ADV-VERB-PUNCT,14,PRON-PRON-VERB,72,NOUN-PUNCT-NOUN,255,PUNCT-VERB-NOUN,274,PRON-NOUN-NOUN,25,NOUN-PUNCT-NOUN,231,PRON-VERB-NOUN,278,ADJ-NOUN-PUNCT,9,VERB-NOUN-VERB,43,VERB-VERB-VERB,324,NOUN-NOUN-PUNCT,263,PUNCT-NOUN-NOUN,96,NOUN-NOUN-VERB,163,NOUN-NOUN-NOUN,21
7,NOUN-PUNCT-NOUN,360,NOUN-NOUN-PROPN,209,VERB-VERB-NOUN,205,NOUN-NOUN-VERB,184,NOUN-PUNCT-NOUN,214,VERB-NOUN-NOUN,84,NOUN-PUNCT-PRON,213,NOUN-PUNCT-NOUN,254,NOUN-PROPN-PUNCT,210,NOUN-VERB-NOUN,166,PUNCT-NOUN-PUNCT,1132,VERB-VERB-PUNCT,187,NOUN-PUNCT-NOUN,148,NOUN-PROPN-PUNCT,252,VERB-NOUN-NOUN,184,PROPN-VERB-NOUN,212,NOUN-NOUN-PUNCT,403,VERB-PUNCT-VERB,2,PROPN-NOUN-NOUN,246,VERB-NOUN-VERB,14,NOUN-NOUN-PUNCT,60,PRON-VERB-NOUN,233,NOUN-PUNCT-NOUN,252,VERB-NOUN-VERB,22,NOUN-NOUN-VERB,223,NOUN-NOUN-VERB,163,VERB-PRON-NOUN,8,PROPN-NOUN-VERB,41,NOUN-DET-VERB,304,NOUN-ADJ-NOUN,239,NOUN-VERB-NOUN,87,NOUN-PUNCT-NOUN,146,PUNCT-NOUN-VERB,20
8,PRON-NOUN-VERB,289,NOUN-VERB-NOUN,208,NOUN-NOUN-VERB,199,NOUN-PUNCT-NOUN,159,PROPN-VERB-NOUN,172,PROPN-PUNCT-PROPN,75,NOUN-NOUN-VERB,186,PUNCT-NOUN-NOUN,207,NOUN-NOUN-VERB,209,PUNCT-NOUN-NOUN,152,PUNCT-VERB-NOUN,1059,VERB-NOUN-VERB,187,NOUN-NOUN-VERB,134,NOUN-PRON-VERB,227,PUNCT-NOUN-NOUN,171,NOUN-PUNCT-NOUN,201,VERB-PUNCT-NOUN,242,PUNCT-VERB-PUNCT,2,NOUN-ADJ-NOUN,169,VERB-VERB-PUNCT,12,VERB-PRON-NOUN,56,NOUN-PROPN-PUNCT,211,NOUN-PUNCT-VERB,241,PROPN-PROPN-PROPN,20,PRON-VERB-NOUN,204,PROPN-VERB-NOUN,144,VERB-PRON-PUNCT,7,NOUN-VERB-VERB,37,NOUN-NOUN-VERB,290,NOUN-VERB-NOUN,188,NOUN-PUNCT-NOUN,87,NOUN-VERB-PUNCT,135,NOUN-PUNCT-NOUN,18
9,PUNCT-NOUN-NOUN,249,NOUN-PUNCT-VERB,174,NOUN-PUNCT-VERB,193,NOUN-PUNCT-DET,152,NOUN-PROPN-PUNCT,162,NOUN-PUNCT-NOUN,71,PUNCT-PRON-VERB,165,NOUN-NOUN-VERB,203,PRON-VERB-NOUN,205,NOUN-PUNCT-PRON,149,NOUN-NOUN-VERB,1006,PRON-NOUN-VERB,184,PROPN-VERB-NOUN,124,PROPN-VERB-NOUN,216,PUNCT-VERB-NOUN,146,NOUN-NOUN-VERB,197,VERB-NOUN-VERB,240,VERB-VERB-NOUN,2,NOUN-PUNCT-NOUN,168,VERB-NOUN-NOUN,12,CCONJ-PRON-VERB,51,PUNCT-NOUN-NOUN,204,NOUN-NOUN-VERB,231,VERB-NOUN-NOUN,20,NOUN-PROPN-PUNCT,198,NOUN-PROPN-PUNCT,141,VERB-PRON-VERB,7,NOUN-PROPN-NOUN,32,VERB-NOUN-DET,241,NOUN-NOUN-ADJ,158,VERB-PUNCT-NOUN,86,VERB-VERB-NOUN,121,VERB-PUNCT-NOUN,15
10,PRON-NOUN-NOUN,240,NOUN-PROPN-PUNCT,169,NOUN-VERB-VERB,184,PUNCT-VERB-NOUN,151,PUNCT-NOUN-PUNCT,150,PUNCT-PROPN-AUX,71,VERB-NOUN-VERB,151,VERB-VERB-NOUN,184,PUNCT-VERB-NOUN,188,PUNCT-NOUN-PUNCT,142,NOUN-PUNCT-VERB,970,PUNCT-NOUN-NOUN,168,VERB-NOUN-VERB,110,NOUN-NOUN-PROPN,213,PROPN-NOUN-NOUN,141,PUNCT-NOUN-NOUN,178,PUNCT-NOUN-VERB,204,NOUN-NOUN-PUNCT,2,NOUN-PROPN-NOUN,162,ADV-NOUN-VERB,11,PUNCT-VERB-PRON,49,NOUN-NOUN-VERB,204,PRON-VERB-NOUN,228,ADV-NOUN-VERB,20,PROPN-VERB-NOUN,185,NOUN-PRON-VERB,132,NOUN-VERB-NOUN,6,VERB-NOUN-NOUN,32,NOUN-NOUN-NOUN,200,ADJ-NOUN-NOUN,135,PUNCT-NOUN-VERB,84,NOUN-NOUN-NOUN,118,ADV-NOUN-VERB,14
