,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,1.0,0.07616822429906542,0.057604850934815564,0.07279514699020065,0.06615314907113728,0.05500550055005501,0.06705539358600583,0.06494661921708185,0.04846938775510204,0.1278825995807128,0.09675810473815462,0.07035398230088495,0.017204301075268817,0.04648241206030151,0.07014218009478673,0.09110057925223802,0.0865533230293663,0.10569897710667316,0.06616460462614308,0.04719917012448133
Czech,0.07616822429906542,1.0,0.09519038076152304,0.09523809523809523,0.07800793301013663,0.09056399132321041,0.06663560111835974,0.0827165868524162,0.06126482213438735,0.09458800585080449,0.11100339311682017,0.0730457069628364,0.0173841059602649,0.05392450569203116,0.07351598173515982,0.15098351940457203,0.1171993911719939,0.08096980786825252,0.07680332122470161,0.06077348066298342
German,0.057604850934815564,0.09519038076152304,1.0,0.10369246332827517,0.09393346379647749,0.06316410861865407,0.09305993690851735,0.09576515880654475,0.06366630076838639,0.06824146981627296,0.0731958762886598,0.08329411764705882,0.022747952684258416,0.05733788395904437,0.0923469387755102,0.09278926774734489,0.11659192825112108,0.06216082881105081,0.07122343480758185,0.06793935991016282
English,0.07279514699020065,0.09523809523809523,0.10369246332827517,1.0,0.11405109489051095,0.07154297917778964,0.11030126336248786,0.10947274352100089,0.06507699950322901,0.0905109489051095,0.1,0.11417147934251444,0.01783492326835338,0.044642857142857144,0.1283653846153846,0.10480572597137014,0.1641949152542373,0.06309148264984227,0.059335038363171354,0.05982905982905983
Spanish,0.06615314907113728,0.07800793301013663,0.09393346379647749,0.11405109489051095,1.0,0.04885496183206107,0.1648406374501992,0.24913835548990645,0.04916467780429594,0.06893339543549139,0.07087334247828075,0.16613563950842059,0.015795868772782502,0.03489702517162471,0.2065326633165829,0.07160135462022255,0.09320388349514563,0.059727711901624944,0.044226044226044224,0.04494925084581924
Finnish,0.05500550055005501,0.09056399132321041,0.06316410861865407,0.07154297917778964,0.04885496183206107,1.0,0.04557935200439319,0.050474762618690654,0.05442583732057416,0.07888631090487239,0.09850230414746544,0.05349182763744428,0.029806259314456036,0.09220985691573927,0.05415549597855228,0.0827250608272506,0.07833827893175074,0.06976744186046512,0.1038536903984324,0.08140262993112085
French,0.06705539358600583,0.06663560111835974,0.09305993690851735,0.11030126336248786,0.1648406374501992,0.04557935200439319,1.0,0.17125984251968504,0.04292284108329075,0.07221664994984955,0.06845965770171149,0.16917841516771998,0.013799051315222079,0.029283489096573207,0.1804313519200421,0.07020280811232449,0.09171443460135487,0.05865790708587518,0.04569606801275239,0.04155844155844156
Galician,0.06494661921708185,0.0827165868524162,0.09576515880654475,0.10947274352100089,0.24913835548990645,0.050474762618690654,0.17125984251968504,1.0,0.048220973782771535,0.07352941176470588,0.06956912028725314,0.15946547884187082,0.015133412982875348,0.03409726103968697,0.19764590485532124,0.07224334600760456,0.09242496426869938,0.06004319654427646,0.0484027105517909,0.04160756501182033
Hindi,0.04846938775510204,0.06126482213438735,0.06366630076838639,0.06507699950322901,0.04916467780429594,0.05442583732057416,0.04292284108329075,0.048220973782771535,1.0,0.04500261643118786,0.05578512396694215,0.04524469067405355,0.06763285024154589,0.056643356643356645,0.04835493519441675,0.07214765100671142,0.07244785949506037,0.04806739345887017,0.09009546539379475,0.06758304696449026
Indonesian,0.1278825995807128,0.09458800585080449,0.06824146981627296,0.0905109489051095,0.06893339543549139,0.07888631090487239,0.07221664994984955,0.07352941176470588,0.04500261643118786,1.0,0.10703205791106515,0.07562642369020502,0.01629955947136564,0.056504599211563734,0.07896027464443355,0.11764705882352941,0.089798087141339,0.12972420837589377,0.06888888888888889,0.05828386400431732
Icelandic,0.09675810473815462,0.11100339311682017,0.0731958762886598,0.1,0.07087334247828075,0.09850230414746544,0.06845965770171149,0.06956912028725314,0.05578512396694215,0.10703205791106515,1.0,0.06832298136645963,0.01904761904761905,0.04680581910183428,0.06949071870537839,0.123773173391494,0.14394765539803708,0.08397312859884837,0.06713589604764483,0.05907172995780591
Italian,0.07035398230088495,0.0730457069628364,0.08329411764705882,0.11417147934251444,0.16613563950842059,0.05349182763744428,0.16917841516771998,0.15946547884187082,0.04524469067405355,0.07562642369020502,0.06832298136645963,1.0,0.016186340307935254,0.03362734288864388,0.20107108081791625,0.07139502113668389,0.08724202626641651,0.059854638734501926,0.04532442748091603,0.04355971896955504
Japanese,0.017204301075268817,0.0173841059602649,0.022747952684258416,0.01783492326835338,0.015795868772782502,0.029806259314456036,0.013799051315222079,0.015133412982875348,0.06763285024154589,0.01629955947136564,0.01904761904761905,0.016186340307935254,1.0,0.02649379932356257,0.014291719209751997,0.02109124254928932,0.01570210856886496,0.02148272957034541,0.03939688715953307,0.03179876601803512
Korean,0.04648241206030151,0.05392450569203116,0.05733788395904437,0.044642857142857144,0.03489702517162471,0.09220985691573927,0.029283489096573207,0.03409726103968697,0.056643356643356645,0.056504599211563734,0.04680581910183428,0.03362734288864388,0.02649379932356257,1.0,0.03253012048192771,0.05597788527988943,0.04055851063829787,0.05372405372405373,0.14217633042096903,0.10156833457804332
