,Afrikaans,Arabic,Chinese,Czech,English,Faroese,Finnish,French,Galician,German,Hebrew,Hindi,Icelandic,Indonesian,Irish,Italian,Japanese,Komi_Zyrian,Korean,Nenets,Norwegian,Portuguese,Russian,Sanskrit,Spanish,Swedish,Tagalog,Tamil,Thai,Turkish,Uzbek,Vietnamese,Yakut
Afrikaans,0.0000,0.7306,0.7300,0.7369,0.7124,0.7497,0.7634,0.7035,0.7046,0.6967,0.7379,0.7085,0.7332,0.7597,0.7810,0.6989,0.7252,0.8126,0.7422,0.7880,0.8366,0.7122,0.7124,0.7973,0.7042,0.7151,0.8036,0.7602,0.7500,0.7255,0.7675,0.7575,0.8723
Arabic,0.7306,0.0000,0.7126,0.6252,0.6122,0.7552,0.6556,0.6473,0.6459,0.6882,0.7496,0.6456,0.6377,0.6009,0.7725,0.6460,0.7085,0.7696,0.6516,0.8190,0.8421,0.6107,0.6301,0.8016,0.6352,0.6023,0.7871,0.7522,0.6758,0.6701,0.7129,0.7206,0.8690
Chinese,0.7300,0.7126,0.0000,0.6652,0.6178,0.7389,0.5967,0.6496,0.6968,0.6443,0.7570,0.6665,0.6415,0.6243,0.7955,0.6762,0.6835,0.7645,0.5905,0.7576,0.8582,0.6647,0.6187,0.7737,0.6900,0.6412,0.8012,0.7414,0.6748,0.6387,0.6751,0.6997,0.8485
Czech,0.7369,0.6252,0.6652,0.0000,0.5392,0.7142,0.5481,0.5730,0.5701,0.5367,0.7420,0.6362,0.5691,0.5550,0.7982,0.5758,0.6828,0.7573,0.6287,0.7836,0.8150,0.5768,0.4569,0.7851,0.5656,0.5010,0.7819,0.7657,0.6870,0.6396,0.6957,0.7306,0.8497
English,0.7124,0.6122,0.6178,0.5392,0.0000,0.7690,0.5005,0.4295,0.4606,0.4838,0.7384,0.6162,0.4657,0.4234,0.7951,0.4935,0.6962,0.7746,0.6471,0.8090,0.8344,0.3770,0.5242,0.7837,0.5050,0.2894,0.8220,0.7662,0.6116,0.6841,0.7104,0.7545,0.8621
Faroese,0.7497,0.7552,0.7389,0.7142,0.7690,0.0000,0.7318,0.7659,0.7585,0.7645,0.7587,0.7572,0.7479,0.7567,0.7995,0.7659,0.7906,0.7045,0.7289,0.7004,0.7893,0.7697,0.7277,0.7648,0.7573,0.7362,0.6798,0.7276,0.7993,0.7376,0.6831,0.7362,0.7819
Finnish,0.7634,0.6556,0.5967,0.5481,0.5005,0.7318,0.0000,0.5746,0.6116,0.5632,0.7529,0.6261,0.5058,0.5571,0.8081,0.6183,0.7018,0.7349,0.5990,0.7624,0.8383,0.5925,0.5318,0.7692,0.6097,0.4744,0.7860,0.7527,0.6650,0.6360,0.6742,0.7413,0.8265
French,0.7035,0.6473,0.6496,0.5730,0.4295,0.7659,0.5746,0.0000,0.3573,0.5143,0.7366,0.6510,0.5105,0.5181,0.7800,0.4364,0.6937,0.7872,0.6679,0.8204,0.8357,0.3687,0.5235,0.8005,0.4065,0.4736,0.8264,0.7703,0.6430,0.6841,0.7509,0.7530,0.8646
Galician,0.7046,0.6459,0.6968,0.5701,0.4606,0.7585,0.6116,0.3573,0.0000,0.5324,0.7475,0.6605,0.5449,0.5597,0.7726,0.4341,0.6983,0.7874,0.6734,0.8167,0.8519,0.3219,0.5274,0.8134,0.2159,0.5179,0.8237,0.7735,0.6491,0.6764,0.7488,0.7529,0.8813
German,0.6967,0.6882,0.6443,0.5367,0.4838,0.7645,0.5632,0.5143,0.5324,0.0000,0.7578,0.6328,0.5334,0.5963,0.7896,0.5584,0.6980,0.7758,0.6505,0.8000,0.8507,0.5308,0.5417,0.7981,0.5487,0.4445,0.8293,0.7609,0.7068,0.6562,0.7072,0.7526,0.8570
Hebrew,0.7379,0.7496,0.7570,0.7420,0.7384,0.7587,0.7529,0.7366,0.7475,0.7578,0.0000,0.7522,0.7582,0.7475,0.7801,0.7425,0.7711,0.7852,0.7474,0.7855,0.8592,0.7340,0.7344,0.8256,0.7391,0.7470,0.7669,0.7902,0.7984,0.7520,0.7606,0.7536,0.8428
