Rank,Afrikaans_pattern,Afrikaans_count,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Faroese_pattern,Faroese_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hebrew_pattern,Hebrew_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Irish_pattern,Irish_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Komi_Zyrian_pattern,Komi_Zyrian_count,Korean_pattern,Korean_count,Nenets_pattern,Nenets_count,Norwegian_pattern,Norwegian_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Sanskrit_pattern,Sanskrit_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Tagalog_pattern,Tagalog_count,Tamil_pattern,Tamil_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count,Uzbek_pattern,Uzbek_count,Vietnamese_pattern,Vietnamese_count,Yakut_pattern,Yakut_count
1,DET-NOUN,2675,ADP-NOUN,2232,NOUN-PUNCT,1273,ADJ-NOUN,1460,DET-NOUN,1135,NOUN-PUNCT,910,NOUN-PUNCT,1164,DET-NOUN,3177,DET-NOUN,2859,DET-NOUN,1961,ADP-NOUN,11741,NOUN-ADP,2630,ADP-NOUN,1107,ADP-NOUN,1201,ADP-NOUN,998,DET-NOUN,2551,NOUN-ADP,4654,NOUN-PUNCT,21,NOUN-NOUN,3992,VERB-PUNCT,173,PRON-VERB,415,DET-NOUN,2669,NOUN-PUNCT,1583,NOUN-NOUN,196,DET-NOUN,2696,NOUN-ADP,1173,ADP-NOUN,132,NOUN-VERB,160,ADP-NOUN,1628,NOUN-NOUN,1914,NOUN-NOUN,625,VERB-NOUN,621,NOUN-VERB,164
2,NOUN-ADP,2251,NOUN-NOUN,1218,NOUN-NOUN,1194,NOUN-PUNCT,1268,NOUN-PUNCT,1125,ADJ-NOUN,596,NOUN-NOUN,860,ADP-DET,1943,ADP-DET,1800,ADP-DET,1145,DET-NOUN,7670,ADP-NOUN,1643,NOUN-ADP,898,NOUN-NOUN,1079,NOUN-ADP,898,ADP-DET,2045,ADP-VERB,2162,VERB-PUNCT,13,NOUN-VERB,1051,NOUN-NOUN,106,NOUN-PUNCT,358,ADP-DET,1969,ADJ-NOUN,1523,NOUN-VERB,135,NOUN-ADP,1823,ADJ-NOUN,1081,NOUN-PUNCT,81,NOUN-NOUN,123,NOUN-NOUN,1367,NOUN-VERB,1073,NOUN-VERB,577,NOUN-NOUN,611,NOUN-NOUN,83
3,ADP-DET,1981,NOUN-ADJ,1216,PART-NOUN,972,ADP-NOUN,841,NOUN-ADP,1101,ADP-NOUN,576,ADJ-NOUN,815,NOUN-ADP,1749,NOUN-ADP,1725,ADJ-NOUN,1039,NOUN-DET,5691,ADJ-NOUN,1154,NOUN-PUNCT,860,VERB-NOUN,744,DET-NOUN,647,NOUN-ADP,1619,ADP-NOUN,2158,VERB-NOUN,10,PROPN-NOUN,782,NOUN-VERB,86,PRON-AUX,353,NOUN-ADP,1702,ADP-NOUN,962,VERB-PUNCT,110,ADP-DET,1765,NOUN-PUNCT,1034,NOUN-ADP,63,VERB-AUX,120,VERB-NOUN,1335,VERB-PUNCT,905,VERB-PUNCT,553,NOUN-VERB,553,VERB-PUNCT,77
4,ADJ-NOUN,1571,NOUN-ADP,1034,NOUN-VERB,857,NOUN-ADP,610,ADJ-NOUN,983,NOUN-ADP,540,VERB-NOUN,675,NOUN-PUNCT,986,NOUN-PUNCT,875,VERB-PUNCT,893,NOUN-ADP,4732,NOUN-VERB,1032,ADJ-NOUN,770,PROPN-PROPN,629,PROPN-PUNCT,629,NOUN-PUNCT,853,VERB-AUX,1696,PRON-VERB,8,NOUN-PUNCT,680,ADV-VERB,70,INTJ-PUNCT,313,NOUN-PUNCT,965,NOUN-ADP,746,ADJ-NOUN,63,NOUN-PUNCT,959,ADP-NOUN,936,VERB-ADP,51,PROPN-NOUN,106,NOUN-VERB,997,ADJ-NOUN,826,VERB-VERB,296,NOUN-PUNCT,493,DET-NOUN,60
5,NOUN-VERB,1079,ADJ-ADP,716,NUM-NOUN,756,NOUN-NOUN,550,ADP-DET,944,NOUN-AUX,481,NOUN-VERB,619,NOUN-ADJ,839,ADP-NOUN,834,NOUN-ADP,876,VERB-ADP,4569,VERB-AUX,862,PROPN-PUNCT,431,PROPN-PUNCT,596,PROPN-PROPN,585,NOUN-ADJ,763,NOUN-NOUN,1596,CCONJ-NOUN,5,VERB-NOUN,625,NOUN-ADP,64,VERB-PRON,294,NOUN-ADJ,871,NOUN-NOUN,725,NOUN-PUNCT,52,ADP-NOUN,885,DET-ADJ,510,VERB-PRON,28,AUX-PUNCT,68,VERB-ADP,956,NOUN-ADJ,639,PUNCT-NOUN,222,ADV-VERB,477,ADJ-NOUN,58
6,ADP-NOUN,1058,VERB-NOUN,692,VERB-NOUN,611,ADP-ADJ,437,VERB-ADP,572,PROPN-PUNCT,366,PROPN-PROPN,393,VERB-ADP,744,NOUN-ADJ,820,NOUN-VERB,839,NOUN-PUNCT,3842,AUX-PUNCT,764,VERB-NOUN,416,NOUN-PUNCT,561,NOUN-PUNCT,562,ADP-NOUN,742,AUX-PUNCT,957,PUNCT-CCONJ,5,NOUN-PROPN,482,ADP-VERB,39,ADP-NOUN,257,ADP-NOUN,822,VERB-ADP,516,ADV-NOUN,52,VERB-ADP,840,NOUN-VERB,427,ADP-PROPN,22,NOUN-PROPN,55,VERB-VERB,925,DET-NOUN,583,ADJ-NOUN,195,ADP-NOUN,382,ADV-VERB,51
7,NOUN-PUNCT,966,NOUN-PUNCT,659,ADV-VERB,604,NOUN-VERB,421,DET-ADJ,539,ADP-PROPN,337,PROPN-NOUN,361,ADP-NOUN,715,VERB-ADP,639,NOUN-PUNCT,793,NOUN-NOUN,3166,ADP-ADP,734,VERB-ADP,415,VERB-ADP,558,ADP-PROPN,410,VERB-ADP,686,AUX-AUX,816,NOUN-NOUN,4,NUM-NOUN,458,INTJ-NOUN,32,ADV-PUNCT,217,VERB-ADP,692,PROPN-PUNCT,499,VERB-NOUN,50,NOUN-ADJ,793,DET-NOUN,408,PRON-PUNCT,18,PROPN-PROPN,54,NOUN-ADP,791,PROPN-NOUN,522,NOUN-PUNCT,194,VERB-PUNCT,330,PRON-NOUN,50
8,VERB-PUNCT,880,ADJ-PUNCT,514,VERB-VERB,568,NOUN-ADJ,414,PROPN-PUNCT,466,PROPN-AUX,234,PRON-NOUN,328,VERB-DET,674,VERB-DET,598,DET-ADJ,746,DET-ADJ,2995,ADP-ADJ,707,ADP-PROPN,366,NOUN-PRON,532,NOUN-NOUN,387,VERB-DET,581,PUNCT-NOUN,771,NOUN-VERB,4,NOUN-AUX,429,ADV-ADV,29,VERB-ADP,195,VERB-DET,511,ADP-ADJ,487,PRON-NOUN,49,VERB-DET,482,PRON-VERB,404,PRON-ADP,16,NUM-NOUN,53,AUX-VERB,593,NOUN-PUNCT,468,VERB-NOUN,170,NOUN-ADJ,257,NOUN-ADV,40
9,DET-ADJ,838,NOUN-PRON,497,VERB-PUNCT,513,PROPN-PUNCT,366,AUX-VERB,442,AUX-NOUN,218,PRON-VERB,320,AUX-VERB,604,PROPN-PUNCT,507,NOUN-DET,448,NOUN-ADJ,2992,PROPN-ADP,653,NOUN-VERB,332,NOUN-ADJ,518,PUNCT-NOUN,342,AUX-VERB,529,PROPN-ADP,715,PRON-NOUN,4,DET-NOUN,413,NOUN-INTJ,27,DET-NOUN,184,PROPN-PUNCT,496,VERB-NOUN,447,DET-NOUN,48,ADP-PROPN,474,VERB-ADP,386,VERB-PUNCT,14,NOUN-PART,51,NOUN-DET,583,NOUN-ADP,399,PRON-NOUN,166,PUNCT-NOUN,251,PRON-VERB,36
10,VERB-AUX,718,VERB-ADP,472,NOUN-PART,512,DET-NOUN,331,ADP-NOUN,424,AUX-ADJ,216,NOUN-AUX,319,PRON-VERB,487,ADP-PROPN,450,AUX-PUNCT,299,PROPN-PUNCT,2888,VERB-PUNCT,609,PROPN-PROPN,328,NOUN-PROPN,467,SYM-PROPN,316,PROPN-PUNCT,520,ADP-PUNCT,711,AUX-VERB,4,PROPN-PROPN,388,NOUN-ADV,26,AUX-PRON,150,ADJ-PUNCT,411,NOUN-VERB,419,ADV-VERB,45,PROPN-PUNCT,453,ADP-PROPN,361,ADJ-ADP,13,VERB-NOUN,49,NOUN-ADJ,540,PUNCT-NOUN,377,PUNCT-PUNCT,124,VERB-VERB,247,NUM-NOUN,33
