Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
1,NOUN-ADP-NOUN,676,NOUN-PART-NOUN,345,ADJ-NOUN-PUNCT,521,ADP-DET-NOUN,520,NOUN-NOUN-PUNCT,302,ADP-DET-NOUN,1600,ADP-DET-NOUN,1322,ADP-DET-NOUN,755,NOUN-ADP-NOUN,1002,NOUN-ADP-NOUN,425,VERB-ADP-NOUN,346,ADP-DET-NOUN,1312,NOUN-ADP-VERB,1659,NOUN-NOUN-NOUN,2009,ADP-DET-NOUN,1437,ADJ-NOUN-PUNCT,613,ADP-DET-NOUN,1418,NOUN-ADP-NOUN,482,VERB-ADP-NOUN,521,NOUN-VERB-PUNCT,575
2,ADP-NOUN-NOUN,583,PART-NOUN-PUNCT,343,ADP-ADJ-NOUN,318,NOUN-ADP-DET,417,ADJ-NOUN-PUNCT,256,DET-NOUN-ADP,1227,DET-NOUN-ADP,1040,DET-ADJ-NOUN,641,ADP-NOUN-ADP,650,ADP-NOUN-PUNCT,279,ADP-NOUN-NOUN,329,DET-NOUN-ADP,974,NOUN-ADP-NOUN,1512,NOUN-NOUN-VERB,595,DET-NOUN-ADP,1002,ADP-ADJ-NOUN,392,DET-NOUN-ADP,1021,DET-ADJ-NOUN,428,ADP-NOUN-NOUN,439,NOUN-NOUN-NOUN,551
3,ADJ-ADP-NOUN,485,NOUN-NOUN-PUNCT,333,NOUN-ADP-NOUN,305,DET-NOUN-ADP,414,NOUN-VERB-NOUN,210,NOUN-ADP-DET,883,NOUN-ADP-DET,761,DET-NOUN-ADP,436,ADJ-NOUN-ADP,639,ADP-ADJ-NOUN,232,NOUN-ADP-NOUN,274,NOUN-ADP-DET,874,ADP-NOUN-ADP,1324,NOUN-VERB-NOUN,467,NOUN-ADP-DET,849,NOUN-ADP-NOUN,386,NOUN-ADP-DET,782,ADJ-NOUN-PUNCT,328,NOUN-ADP-NOUN,396,NOUN-NOUN-VERB,455
4,NOUN-ADJ-ADP,455,PART-NOUN-NOUN,222,NOUN-ADJ-NOUN,241,DET-ADJ-NOUN,406,NOUN-PUNCT-PRON,205,DET-NOUN-ADJ,658,DET-NOUN-ADJ,571,NOUN-ADP-DET,412,ADP-NOUN-VERB,519,ADP-NOUN-ADP,225,PROPN-PROPN-PUNCT,221,DET-NOUN-ADJ,497,ADP-VERB-AUX,1202,PROPN-NOUN-NOUN,422,DET-NOUN-ADJ,571,NOUN-ADJ-NOUN,320,DET-NOUN-ADJ,512,ADJ-NOUN-ADP,309,VERB-NOUN-VERB,297,ADJ-NOUN-NOUN,290
5,ADP-NOUN-ADJ,438,NOUN-NOUN-VERB,189,ADJ-NOUN-ADP,225,ADJ-NOUN-PUNCT,291,VERB-NOUN-PUNCT,199,DET-NOUN-PUNCT,573,DET-NOUN-PUNCT,488,NOUN-VERB-PUNCT,405,NOUN-ADP-ADP,390,VERB-ADP-NOUN,222,NOUN-NOUN-PUNCT,199,VERB-DET-NOUN,438,NOUN-NOUN-ADP,1069,NOUN-NOUN-PUNCT,351,NOUN-ADP-NOUN,453,VERB-ADP-NOUN,242,NOUN-ADP-NOUN,507,ADP-NOUN-PUNCT,253,NOUN-NOUN-NOUN,297,NOUN-ADJ-NOUN,275
6,ADP-NOUN-ADP,324,NOUN-ADV-VERB,183,ADJ-ADJ-NOUN,204,ADJ-NOUN-ADP,281,ADJ-NOUN-NOUN,181,VERB-DET-NOUN,564,NOUN-ADP-NOUN,487,DET-NOUN-VERB,378,NOUN-ADP-ADJ,384,ADJ-NOUN-ADP,194,VERB-NOUN-NOUN,198,DET-NOUN-PUNCT,399,VERB-AUX-AUX,600,NOUN-PROPN-NOUN,287,DET-NOUN-PUNCT,450,ADJ-NOUN-ADP,242,DET-NOUN-PUNCT,443,ADP-NOUN-ADP,253,VERB-NOUN-NOUN,293,NOUN-NOUN-ADJ,233
7,NOUN-ADJ-PUNCT,307,NUM-NOUN-NOUN,181,NOUN-NOUN-PUNCT,169,VERB-DET-NOUN,229,VERB-ADJ-NOUN,163,NOUN-ADP-NOUN,429,VERB-DET-NOUN,437,DET-NOUN-PUNCT,303,ADP-ADJ-NOUN,382,ADJ-NOUN-PUNCT,181,NOUN-NOUN-NOUN,194,NOUN-ADP-NOUN,380,ADP-NOUN-NOUN,532,VERB-NOUN-NOUN,240,VERB-DET-NOUN,394,ADP-NOUN-PUNCT,239,VERB-DET-NOUN,403,NOUN-ADP-PROPN,203,NOUN-VERB-NOUN,277,ADJ-DET-NOUN,223
8,VERB-ADP-NOUN,307,NOUN-NOUN-NOUN,181,VERB-ADJ-NOUN,168,DET-NOUN-PUNCT,228,VERB-NOUN-NOUN,162,VERB-ADP-DET,394,VERB-ADP-DET,303,NOUN-DET-NOUN,289,VERB-AUX-PUNCT,372,NOUN-ADP-PROPN,181,ADP-NOUN-PROPN,167,VERB-ADP-DET,346,VERB-AUX-PUNCT,462,NOUN-VERB-PUNCT,228,VERB-ADP-DET,356,NOUN-NOUN-PUNCT,226,VERB-ADP-DET,391,ADP-ADJ-NOUN,183,VERB-VERB-NOUN,267,PROPN-NOUN-NOUN,182
9,NOUN-NOUN-ADJ,305,ADJ-PART-NOUN,170,ADP-NOUN-PUNCT,155,ADP-DET-ADJ,224,NOUN-ADJ-NOUN,147,DET-ADJ-NOUN,286,ADP-NOUN-ADP,290,ADP-DET-ADJ,279,NOUN-VERB-AUX,323,ADV-ADP-NOUN,141,PROPN-PROPN-PROPN,159,ADP-DET-PROPN,326,NOUN-ADP-PUNCT,408,NUM-NOUN-NOUN,228,NOUN-ADJ-PUNCT,286,ADP-NOUN-NOUN,215,ADP-NOUN-ADP,304,ADP-DET-ADJ,168,NOUN-DET-VERB,243,NOUN-PUNCT-NOUN,178
10,ADP-NOUN-PUNCT,292,VERB-PART-NOUN,169,ADJ-NOUN-VERB,143,NOUN-ADP-NOUN,223,NOUN-NOUN-NOUN,146,PUNCT-DET-NOUN,279,NOUN-ADJ-PUNCT,278,DET-NOUN-DET,260,VERB-AUX-AUX,298,ADP-PROPN-PUNCT,140,NOUN-PRON-VERB,149,NOUN-ADJ-ADP,263,ADP-VERB-SCONJ,398,NOUN-NUM-NOUN,224,ADP-NOUN-ADP,286,VERB-ADJ-NOUN,211,NOUN-ADJ-ADP,273,DET-NOUN-ADP,150,VERB-VERB-ADP,219,DET-NOUN-NOUN,177
11,NOUN-NOUN-ADP,242,NOUN-VERB-PUNCT,155,NOUN-PUNCT-DET,143,VERB-ADP-DET,220,NOUN-CCONJ-NOUN,131,NOUN-ADJ-PUNCT,278,NOUN-ADJ-ADP,260,ADJ-NOUN-VERB,227,NOUN-ADP-VERB,280,VERB-NOUN-ADP,138,PRON-VERB-ADP,148,ADJ-ADP-DET,250,AUX-NOUN-ADP,391,DET-NOUN-NOUN,220,NOUN-ADJ-ADP,277,NOUN-PUNCT-VERB,177,NOUN-ADJ-PUNCT,255,NOUN-ADP-DET,142,VERB-NOUN-ADP,214,PUNCT-NOUN-NOUN,158
12,NOUN-NOUN-NOUN,215,NOUN-NOUN-PART,150,NOUN-ADP-ADJ,139,NOUN-ADP-PROPN,209,PUNCT-PRON-VERB,130,NOUN-ADJ-ADP,257,DET-DET-NOUN,249,ADJ-NOUN-ADP,216,NOUN-VERB-PUNCT,277,NOUN-CCONJ-NOUN,136,NOUN-ADJ-PUNCT,140,ADP-NOUN-ADP,246,PUNCT-NOUN-ADP,377,NOUN-NOUN-PROPN,206,ADP-NOUN-PUNCT,255,ADJ-NOUN-NOUN,169,NOUN-ADP-PROPN,251,ADP-PART-VERB,141,ADP-NOUN-VERB,211,NOUN-VERB-NOUN,141
13,ADP-NOUN-PRON,196,VERB-NOUN-NOUN,143,ADP-NOUN-NOUN,139,AUX-VERB-ADP,164,ADJ-NOUN-VERB,114,AUX-VERB-ADP,250,DET-NOUN-VERB,240,ADJ-NOUN-PUNCT,216,NOUN-NOUN-ADP,273,ADP-PART-VERB,121,ADJ-ADP-NOUN,137,NOUN-ADJ-PUNCT,244,AUX-AUX-PUNCT,373,NOUN-NOUN-AUX,202,ADP-DET-PROPN,246,NOUN-ADP-ADJ,157,ADP-NOUN-PUNCT,244,ADP-DET-NOUN,140,NOUN-VERB-ADP,192,NOUN-ADP-NOUN,140
14,ADP-NOUN-PROPN,171,VERB-NOUN-PUNCT,142,VERB-ADP-NOUN,131,ADP-NOUN-PUNCT,153,NOUN-NOUN-VERB,114,ADP-NOUN-ADP,221,PUNCT-DET-NOUN,229,VERB-AUX-PUNCT,188,AUX-AUX-PUNCT,254,VERB-ADV-ADP,119,NOUN-NOUN-PRON,132,DET-ADJ-NOUN,232,NUM-NOUN-ADP,340,NOUN-ADJ-NOUN,198,ADJ-ADP-DET,222,ADP-NOUN-ADJ,149,DET-ADJ-NOUN,216,VERB-ADP-NOUN,130,AUX-VERB-NOUN,185,NOUN-NOUN-ADP,135
