,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,1.0,0.9532342195144454,0.870492150740677,0.9295133810539795,0.9042752801055677,0.8860435855008407,0.8758540734863587,0.8777031484274105,0.9740091165926211,0.9559354328422226,0.962124048018137,0.874335597887822,0.91388655943125,0.8352711201007619,0.8912337203775315,0.9677004096282464,0.9687168202600712,0.8867971793301859,0.9116428141813557,0.8855322974709656
Czech,0.9532342195144454,1.0,0.9339941415650164,0.9580084904853979,0.9117661025107855,0.9390582070545409,0.9008097679555176,0.8956515900744341,0.9348283343936851,0.9572672040748182,0.9524731670116179,0.8941330818220353,0.8689479400909509,0.8497292247659597,0.9100605835620744,0.9922131592437203,0.9718925323505043,0.858639688502129,0.9554851402460747,0.9131313989606811
German,0.870492150740677,0.9339941415650164,1.0,0.9815185913159381,0.970712610357917,0.8601343502684079,0.9778487651692496,0.9740854765867717,0.8875863549109906,0.9209727244260084,0.8860602032685259,0.9722562838200883,0.8181049431425327,0.774881501177728,0.9770787718199867,0.9163971076011888,0.9459799320155627,0.8346158307465821,0.8805461356949671,0.8679701667868089
English,0.9295133810539795,0.9580084904853979,0.9815185913159381,1.0,0.9722055088505827,0.8906644666199152,0.970863196159819,0.9663759723874462,0.9435604689526714,0.9607636929735186,0.9420610180545034,0.9705700608126768,0.880366309547263,0.7883023855689308,0.974100079058767,0.9491701797832122,0.9812974217049135,0.8849803344893916,0.8964138829655184,0.902747032022265
Spanish,0.9042752801055677,0.9117661025107855,0.970712610357917,0.9722055088505827,1.0,0.7948491004634028,0.9961893870069891,0.9969822033742206,0.939702461476162,0.9070790500839364,0.8884941637909749,0.9934354315008377,0.8769805370506049,0.7347885385770505,0.9977052405373276,0.9005175565611379,0.9506151514703408,0.8724257338500145,0.8393458968557141,0.8278636055732072
Finnish,0.8860435855008407,0.9390582070545409,0.8601343502684079,0.8906644666199152,0.7948491004634028,1.0,0.7813228456522449,0.7743557635502851,0.8359938546441061,0.9586504876925618,0.9383033872031782,0.772138298399209,0.7934731968388399,0.9004985026838276,0.789381194629821,0.9463836385937583,0.9170461984185072,0.8409470606722103,0.9594891323255,0.9476550193840758
French,0.8758540734863587,0.9008097679555176,0.9778487651692496,0.970863196159819,0.9961893870069891,0.7813228456522449,1.0,0.9969865921779609,0.9196039265974506,0.8887662000030009,0.8685485394816637,0.9968702406397302,0.8561148249386451,0.7100454748149779,0.9984560058550123,0.8829396352492073,0.9376597352350198,0.8468269841408302,0.8218836330770819,0.812220226594296
Galician,0.8777031484274105,0.8956515900744341,0.9740854765867717,0.9663759723874462,0.9969822033742206,0.7743557635502851,0.9969865921779609,1.0,0.9147704247908783,0.8916618669447178,0.8621850894366007,0.9955920262476714,0.8465205202165234,0.7111964107941703,0.9978217128176219,0.8821179292970978,0.9325299054650265,0.8468663916549475,0.8206527168925121,0.8091945172033079
Hindi,0.9740091165926211,0.9348283343936851,0.8875863549109906,0.9435604689526714,0.939702461476162,0.8359938546441061,0.9196039265974506,0.9147704247908783,1.0,0.9288063674154867,0.9496750467474834,0.9165333660094483,0.9652670173872945,0.7697886941430012,0.9286217324981396,0.9389633654201129,0.9664770852301359,0.9069371909236844,0.8600500256840973,0.8624370479996575
Indonesian,0.9559354328422226,0.9572672040748182,0.9209727244260084,0.9607636929735186,0.9070790500839364,0.9586504876925618,0.8887662000030009,0.8916618669447178,0.9288063674154867,1.0,0.9730257299950122,0.8873725334193272,0.8770104577342768,0.8718777617712936,0.8991879769395438,0.9706479407169797,0.9737178878990953,0.9065400539373971,0.9439264045626726,0.9486198707886072
