,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,1.0,0.9375,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.9375,0.9375,1.0,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706,0.8125,0.8823529411764706,0.9411764705882353,0.8823529411764706,1.0,0.8823529411764706,0.9375
Czech,0.9375,1.0,0.9375,0.8823529411764706,0.8823529411764706,0.7647058823529411,0.875,0.875,0.9375,0.8823529411764706,0.8823529411764706,0.9375,0.9375,0.75,0.8235294117647058,0.8823529411764706,0.9375,0.9375,0.8235294117647058,0.875
German,1.0,0.9375,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.9375,0.9375,1.0,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706,0.8125,0.8823529411764706,0.9411764705882353,0.8823529411764706,1.0,0.8823529411764706,0.9375
English,0.9411764705882353,0.8823529411764706,0.9411764705882353,1.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706
Spanish,0.9411764705882353,0.8823529411764706,0.9411764705882353,1.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706
Finnish,0.8235294117647058,0.7647058823529411,0.8235294117647058,0.8823529411764706,0.8823529411764706,1.0,0.875,0.875,0.8235294117647058,0.8823529411764706,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.6470588235294118,0.9375,0.8823529411764706,0.8235294117647058,0.8235294117647058,0.9375,0.7647058823529411
French,0.9375,0.875,0.9375,0.8823529411764706,0.8823529411764706,0.875,1.0,1.0,0.9375,0.8823529411764706,0.8823529411764706,0.9375,0.8235294117647058,0.75,0.9375,0.8823529411764706,0.8235294117647058,0.9375,0.9375,0.875
Galician,0.9375,0.875,0.9375,0.8823529411764706,0.8823529411764706,0.875,1.0,1.0,0.9375,0.8823529411764706,0.8823529411764706,0.9375,0.8235294117647058,0.75,0.9375,0.8823529411764706,0.8235294117647058,0.9375,0.9375,0.875
Hindi,1.0,0.9375,1.0,0.9411764705882353,0.9411764705882353,0.8235294117647058,0.9375,0.9375,1.0,0.9411764705882353,0.9411764705882353,1.0,0.8823529411764706,0.8125,0.8823529411764706,0.9411764705882353,0.8823529411764706,1.0,0.8823529411764706,0.9375
Indonesian,0.9411764705882353,0.8823529411764706,0.9411764705882353,1.0,1.0,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,1.0,1.0,0.9411764705882353,0.9411764705882353,0.7647058823529411,0.9411764705882353,1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.8823529411764706
