,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,0.0,0.18143409629437388,0.2479560631440005,0.2003765430491411,0.23858471570466994,0.26012336787694845,0.26255052961034464,0.25338576334480734,0.1501156066690963,0.1539962623650863,0.16734845336901216,0.25596067744721207,0.26028189865153284,0.32581895585104115,0.24701820905006827,0.12904567722493426,0.15705162585349638,0.25867119862325416,0.2399826389493091,0.24982094461956153
Czech,0.18143409629437388,0.0,0.15050737673513684,0.1354390984090679,0.17226828982161768,0.21075699762549155,0.18536548955498702,0.18570796142966733,0.1625832067584101,0.14086145187289748,0.1771398665193915,0.1815834706615926,0.2628214520855695,0.30737073739090076,0.17160214966947016,0.09680108590089577,0.11664226203678185,0.2667265744230185,0.1585704039142202,0.2455002091132035
German,0.2479560631440005,0.15050737673513684,0.0,0.07926130293676294,0.10878893251937599,0.2780441651257984,0.10471573362766093,0.11178984861606127,0.20171933518090676,0.16734753033852168,0.2375968695370628,0.10566455916679596,0.30366557096185615,0.3312378096877754,0.10291671081765419,0.18152539984794486,0.13117669882907057,0.2648780035334185,0.2189504920802873,0.25824898917794503
English,0.2003765430491411,0.1354390984090679,0.07926130293676294,0.0,0.1248931806185955,0.2628432621491839,0.12840219143428877,0.13650622828200495,0.15195668760802006,0.12770735046223478,0.1969078714100639,0.11780274956567198,0.26573122634229557,0.31773034143735807,0.12037895901994353,0.15498433783966467,0.08735611668084789,0.2271113704765834,0.2146502864399783,0.22614172550144157
Spanish,0.23858471570466994,0.17226828982161768,0.10878893251937599,0.1248931806185955,0.0,0.31391681454730835,0.05760013140449136,0.04249567563537369,0.17977004413193476,0.1877592090440271,0.2568265542331408,0.05321725692734699,0.28344709768768267,0.36718617778781976,0.031465942208984035,0.20261863120947846,0.1549537723495439,0.2526682539886344,0.24087504381014702,0.29814503662621256
Finnish,0.26012336787694845,0.21075699762549155,0.2780441651257984,0.2628432621491839,0.31391681454730835,0.0,0.3186760222068428,0.3246906752537274,0.2875266158401122,0.1971570180233423,0.18362545838307082,0.3203214166039931,0.32584509539864526,0.27050319002826156,0.3149536612729094,0.21146562106338868,0.23542954277645342,0.3260273821579949,0.1964274112497103,0.24325310523575894
French,0.26255052961034464,0.18536548955498702,0.10471573362766093,0.12840219143428877,0.05760013140449136,0.3186760222068428,0.0,0.05785589295383547,0.19462666556387714,0.20373450038933769,0.26901655165841015,0.05370417544333525,0.2914496114971576,0.37177518858976977,0.0527196099651744,0.21519353102377517,0.17094742371805008,0.2657476860811791,0.24370138686843623,0.29582729011661935
Galician,0.25338576334480734,0.18570796142966733,0.11178984861606127,0.13650622828200495,0.04249567563537369,0.3246906752537274,0.05785589295383547,0.0,0.20091148186996705,0.19472159469814632,0.27255331380509484,0.06287270634465927,0.3005029983490062,0.37507773344897205,0.051175712307093335,0.21002042788254327,0.17389921048141416,0.2724728623851542,0.24835486374670893,0.3050193128364622
Hindi,0.1501156066690963,0.1625832067584101,0.20171933518090676,0.15195668760802006,0.17977004413193476,0.2875266158401122,0.19462666556387714,0.20091148186996705,0.0,0.16816948496241027,0.18905763372856624,0.18917655933741276,0.1807981181262416,0.3451172731661009,0.18416162598458585,0.1625372410302882,0.13812401097862279,0.22564286356160004,0.25266868620263183,0.26264572236295836
Indonesian,0.1539962623650863,0.14086145187289748,0.16734753033852168,0.12770735046223478,0.1877592090440271,0.1971570180233423,0.20373450038933769,0.19472159469814632,0.16816948496241027,0.0,0.1497424221989788,0.19942782673678763,0.2600831028934014,0.2817526553169588,0.19451812120665565,0.11437457491011281,0.11053998096909702,0.23334394447622414,0.18667706333174416,0.19999874940097837
