Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
1,case-obl,1571,obj-punct,925,case-obl,641,case-det,913,obl-punct,467,case-det,1785,case-det,1705,case-det,1133,obl-case,1561,case-obl,842,case-obl,972,case-det,2016,nmod-case,1912,root-punct,771,case-det,1877,nmod-punct,822,case-det,1776,case-nmod,798,case-obl,1192,root-punct,611
2,case-nmod,1060,nmod-case,561,nmod-punct,592,case-nmod,579,nsubj-root,336,det-nmod,889,case-nmod,886,det-amod,737,nmod-case,1078,case-nmod,705,case-nmod,641,det-nmod,937,nsubj-case,1480,compound-compound,576,det-nmod,908,case-obl,818,det-obl,915,case-obl,686,case-nmod,877,nmod-obl,401
3,nmod-nmod,657,punct-nsubj,364,amod-nmod,459,obl-punct,554,cc-conj,297,det-obl,833,det-obl,807,det-obl,627,aux-punct,627,nmod-punct,516,nmod-punct,596,det-obl,913,obl-case,1428,compound-obl,510,det-obl,809,obl-punct,491,case-nmod,899,det-amod,488,nsubj-acl,446,nmod-nmod,360
4,nmod-punct,654,nsubj-advmod,362,case-nmod,447,det-amod,550,obj-punct,281,case-nmod,740,det-nmod,765,det-nsubj,450,case-fixed,616,cc-conj,394,nmod-nmod,583,det-nsubj,721,compound-compound,998,compound-nsubj,362,case-nmod,791,amod-nmod,483,det-nmod,765,obl-punct,463,acl-obj,429,nsubj-punct,316
5,nmod-amod,625,compound-nsubj,354,case-amod,412,nmod-punct,495,nmod-obl,265,det-nsubj,720,det-nsubj,703,det-nmod,446,case-obj,561,obl-punct,374,obl-nmod,421,case-nmod,670,aux-punct,838,obl-acl,326,det-nsubj,719,case-amod,459,det-nsubj,723,obj-case,350,compound-compound,381,punct-nmod,252
6,obl-nmod,602,compound-obj,354,amod-obl,332,case-obl,456,punct-mark,229,det-obj,639,nmod-punct,556,case-obl,341,case-obl,442,obj-case,282,nsubj-acl,394,nmod-punct,535,obj-case,823,nsubj-compound,262,nmod-punct,616,case-nmod,395,obl-case,575,nmod-punct,341,xcomp-obj,372,nmod-nsubj,244
7,root-nsubj,510,compound-compound,327,obl-punct,320,nsubj-aux,412,punct-nsubj,221,nmod-punct,580,det-obj,519,det-obj,331,root-aux,418,mark-nsubj,268,punct-nsubj,374,det-obj,521,case-compound,823,obj-acl,259,det-obj,484,amod-obl,377,nmod-punct,549,case-det,332,cc-conj,354,amod-nmod,234
8,nmod-case,508,case-obl,265,cc-conj,306,obj-case,367,root-punct,197,obl-punct,500,obl-case,511,root-punct,321,case-amod,403,nmod-case,265,cc-conj,348,nmod-case,486,case-root,765,obj-advcl,259,obl-case,480,nsubj-root,330,case-obl,499,nsubj-root,320,obj-compound,331,obj-root,231
9,amod-case,507,case-compound,264,punct-mark,300,obl-case,341,conj-punct,193,nmod-case,466,nmod-case,494,case-nmod,318,amod-obl,365,nsubj-root,263,nsubj-nmod,339,obl-case,470,aux-aux,758,obl-advcl,259,nmod-case,462,cc-conj,293,nmod-case,475,cc-conj,311,compound-case,318,nmod-obj,227
10,cc-conj,495,punct-advmod,260,amod-nsubj,288,nmod-case,330,amod-nmod,191,obl-case,431,case-obl,447,obj-case,300,case-nmod,362,case-amod,250,obj-nmod,283,case-obl,450,case-acl,742,acl-nsubj,247,case-obl,451,amod-nsubj,272,obl-punct,448,obl-case,310,root-obj,298,cop-punct,199
11,amod-punct,458,acl-mark,249,conj-punct,229,nsubj-root,287,nsubj-aux,185,case-obl,424,obj-case,425,nsubj-case,300,case-compound,341,mark-fixed,223,flat-punct,265,obl-punct,415,case-punct,706,compound-obj,246,obl-punct,435,nmod-case,267,det-obj,415,amod-obl,251,obj-case,284,amod-det,190
