,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,0.0,0.22274198339255633,0.2889438511198623,0.2794471929469293,0.2619332337948537,0.3731019499400901,0.29915628917871756,0.29549205582113214,0.36408191975314536,0.25768829941611504,0.2736325649199918,0.2697012609355629,0.409630841869067,0.4713332374894656,0.2704924952034812,0.20910911086719638,0.24517777374440994,0.38438153347872456,0.39403880938674934,0.38746186838756824
Czech,0.22274198339255633,0.0,0.25868053807999225,0.2486829353259081,0.26687942435302725,0.3328992174448028,0.2914451751552516,0.2909298080586451,0.3594445152881672,0.2595552254820268,0.25482963645447176,0.25687042145320194,0.4368876216801526,0.4644835010221176,0.24883557888587432,0.19179557504849276,0.24173012456902718,0.39869394650394807,0.3471699450555291,0.36932577083522244
German,0.2889438511198623,0.25868053807999225,0.0,0.17364985721792664,0.1765166060822932,0.3270734089791341,0.22533195110337345,0.21503743384737842,0.32142656165709854,0.24901960569179948,0.2639629193488628,0.17943275983699442,0.4410788129443636,0.41152170521101816,0.18696791250603836,0.25424420561977024,0.18629541618951528,0.353878671749323,0.3610026737973066,0.34163298264289504
English,0.2794471929469293,0.2486829353259081,0.17364985721792664,0.0,0.21942141148518923,0.31664841475492805,0.24650937152565328,0.23159970471581853,0.26860045088865914,0.256899588770217,0.24878140651475758,0.18476301711706547,0.38248080720199157,0.3888991983067833,0.20024406678452691,0.2489463580982649,0.17287924168167132,0.3176543709534571,0.3071147094881731,0.33244737379373374
Spanish,0.2619332337948537,0.26687942435302725,0.1765166060822932,0.21942141148518923,0.0,0.3777413304635346,0.1711485433113399,0.15422915206322219,0.3176750959201844,0.2654490539948341,0.2786335217832582,0.17499132503556286,0.4234893867257238,0.47554447519150395,0.11024231187648886,0.2403386639831747,0.22131000094004943,0.36376868577933713,0.4002361628180323,0.39640270330330707
Finnish,0.3731019499400901,0.3328992174448028,0.3270734089791341,0.31664841475492805,0.3777413304635346,0.0,0.3876590824745755,0.379656071305086,0.3458559055942093,0.2976053076153217,0.25818053062719776,0.3814097044632589,0.4923879090065265,0.38127415425439787,0.3743774445580463,0.3151521223100866,0.26758295609922134,0.3716088390593154,0.2837375224184404,0.3848553355128286
French,0.29915628917871756,0.2914451751552516,0.22533195110337345,0.24650937152565328,0.1711485433113399,0.3876590824745755,0.0,0.16611523500120937,0.3487915176003474,0.2891608694681857,0.3093835179651339,0.20661549464292206,0.4480600772134405,0.4861782666727522,0.15692371652045126,0.23673418162842366,0.2552768565244136,0.3981178995230686,0.4029035770818213,0.4143555553699994
Galician,0.29549205582113214,0.2909298080586451,0.21503743384737842,0.23159970471581853,0.15422915206322219,0.379656071305086,0.16611523500120937,0.0,0.33420762403812876,0.2869130825281657,0.2926626687403851,0.1695475357961142,0.41178117795419494,0.48824039175257905,0.1419453316784079,0.23340015340569548,0.23908596267719814,0.387696630584864,0.37710594807780595,0.4127294743361789
Hindi,0.36408191975314536,0.3594445152881672,0.32142656165709854,0.26860045088865914,0.3176750959201844,0.3458559055942093,0.3487915176003474,0.33420762403812876,0.0,0.3272838104018734,0.28049402860826206,0.3393072193592394,0.3765349621564491,0.38964612735413723,0.3191143212633798,0.32773927386048585,0.27951902696079517,0.2917488590363131,0.32195505018148285,0.3716680406402484
Indonesian,0.25768829941611504,0.2595552254820268,0.24901960569179948,0.256899588770217,0.2654490539948341,0.2976053076153217,0.2891608694681857,0.2869130825281657,0.3272838104018734,0.0,0.23537135182691976,0.28072279968752356,0.42283684948144507,0.40543863678086156,0.2636731921336042,0.22557864280238685,0.195569842489056,0.34109893388176415,0.3616391098792885,0.34564942406103477
Icelandic,0.2736325649199918,0.25482963645447176,0.2639629193488628,0.24878140651475758,0.2786335217832582,0.25818053062719776,0.3093835179651339,0.2926626687403851,0.28049402860826206,0.23537135182691976,0.0,0.3057843822283017,0.39233129195747446,0.4163308369397759,0.2943019791505166,0.25028756727451784,0.16449348042131293,0.2994811790705281,0.32801549256205853,0.36262129914228775
Italian,0.2697012609355629,0.25687042145320194,0.17943275983699442,0.18476301711706547,0.17499132503556286,0.3814097044632589,0.20661549464292206,0.1695475357961142,0.3393072193592394,0.28072279968752356,0.3057843822283017,0.0,0.41804732497057323,0.4752496736615093,0.13520197731658212,0.25458363410366586,0.23303451974564865,0.39542282885094104,0.3785072476928272,0.3997632147154267
