Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
1,NOUN-NOUN-NOUN,1198,VERB-NOUN-PUNCT,579,NOUN-NOUN-PUNCT,588,NOUN-NOUN-PUNCT,396,VERB-NOUN-PUNCT,508,VERB-NOUN-NOUN,605,VERB-NOUN-NOUN,583,NOUN-VERB-PUNCT,718,NOUN-VERB-PUNCT,796,NOUN-NOUN-PUNCT,397,VERB-NOUN-NOUN,549,VERB-NOUN-NOUN,549,NOUN-VERB-PUNCT,911,NOUN-NOUN-NOUN,1640,NOUN-NOUN-PUNCT,583,NOUN-NOUN-PUNCT,746,VERB-NOUN-NOUN,620,NOUN-NOUN-PUNCT,434,NOUN-VERB-NOUN,734,NOUN-NOUN-NOUN,630
2,VERB-NOUN-NOUN,592,NOUN-VERB-NOUN,492,NOUN-NOUN-NOUN,552,NOUN-VERB-NOUN,388,NOUN-VERB-NOUN,493,NOUN-NOUN-PUNCT,594,NOUN-NOUN-PUNCT,573,NOUN-NOUN-NOUN,414,NOUN-NOUN-VERB,628,NOUN-VERB-NOUN,397,NOUN-NOUN-NOUN,546,NOUN-NOUN-PUNCT,546,NOUN-NOUN-VERB,772,NOUN-VERB-NOUN,579,VERB-NOUN-NOUN,559,NOUN-NOUN-NOUN,653,NOUN-NOUN-PUNCT,578,NOUN-VERB-NOUN,402,VERB-NOUN-VERB,729,NOUN-VERB-PUNCT,555
3,NOUN-NOUN-PUNCT,565,VERB-NOUN-VERB,287,VERB-NOUN-NOUN,418,VERB-NOUN-NOUN,363,NOUN-NOUN-PUNCT,460,NOUN-NOUN-NOUN,542,NOUN-NOUN-NOUN,556,NOUN-NOUN-VERB,397,NOUN-NOUN-NOUN,355,VERB-NOUN-NOUN,359,NOUN-NOUN-PUNCT,400,NOUN-NOUN-NOUN,514,NOUN-NOUN-NOUN,753,NOUN-NOUN-VERB,569,NOUN-NOUN-NOUN,503,VERB-NOUN-NOUN,580,NOUN-NOUN-NOUN,564,VERB-NOUN-NOUN,399,VERB-VERB-NOUN,641,NOUN-NOUN-VERB,477
4,PUNCT-VERB-NOUN,264,NOUN-VERB-PUNCT,259,NOUN-VERB-NOUN,358,VERB-NOUN-PUNCT,335,VERB-NOUN-NOUN,351,NOUN-VERB-NOUN,408,NOUN-VERB-NOUN,447,NOUN-NOUN-PUNCT,305,NOUN-PUNCT-NOUN,247,VERB-NOUN-PUNCT,318,PRON-VERB-NOUN,339,NOUN-VERB-NOUN,427,NOUN-PUNCT-NOUN,568,NOUN-NOUN-PUNCT,444,NOUN-VERB-NOUN,436,VERB-NOUN-PUNCT,480,NOUN-VERB-NOUN,476,NOUN-NOUN-NOUN,315,NOUN-VERB-VERB,476,NOUN-PUNCT-NOUN,320
5,NOUN-NOUN-PRON,242,NOUN-NOUN-PUNCT,241,VERB-NOUN-PUNCT,323,NOUN-NOUN-NOUN,249,PRON-VERB-NOUN,262,VERB-NOUN-PUNCT,388,VERB-NOUN-PUNCT,337,NOUN-PUNCT-NOUN,193,NOUN-VERB-NOUN,236,NOUN-NOUN-NOUN,247,NOUN-VERB-NOUN,329,VERB-NOUN-PUNCT,317,PUNCT-NOUN-NOUN,537,VERB-NOUN-NOUN,362,VERB-NOUN-PUNCT,338,NOUN-VERB-NOUN,377,VERB-NOUN-PUNCT,362,VERB-NOUN-PUNCT,309,VERB-NOUN-NOUN,417,PUNCT-NOUN-NOUN,282
6,PRON-VERB-NOUN,225,NOUN-PUNCT-NOUN,234,NOUN-PROPN-PUNCT,186,PRON-VERB-NOUN,239,NOUN-NOUN-NOUN,225,PRON-VERB-NOUN,372,NOUN-PUNCT-NOUN,213,VERB-NOUN-NOUN,178,NOUN-VERB-VERB,189,PRON-VERB-NOUN,149,VERB-NOUN-PUNCT,275,NOUN-PROPN-PUNCT,217,NOUN-VERB-NOUN,490,NOUN-VERB-PUNCT,294,NOUN-PUNCT-NOUN,255,PUNCT-VERB-NOUN,274,NOUN-PUNCT-NOUN,231,PRON-VERB-NOUN,278,VERB-VERB-VERB,324,NOUN-NOUN-PUNCT,263
7,NOUN-NOUN-PROPN,209,VERB-VERB-NOUN,205,NOUN-NOUN-VERB,184,NOUN-PUNCT-NOUN,214,NOUN-PUNCT-PRON,213,NOUN-PUNCT-NOUN,254,NOUN-PROPN-PUNCT,210,NOUN-VERB-NOUN,166,VERB-VERB-PUNCT,187,NOUN-PUNCT-NOUN,148,NOUN-PROPN-PUNCT,252,PROPN-VERB-NOUN,212,NOUN-NOUN-PUNCT,403,PROPN-NOUN-NOUN,246,PRON-VERB-NOUN,233,NOUN-PUNCT-NOUN,252,NOUN-NOUN-VERB,223,NOUN-NOUN-VERB,163,NOUN-DET-VERB,304,NOUN-ADJ-NOUN,239
8,NOUN-VERB-NOUN,208,NOUN-NOUN-VERB,199,NOUN-PUNCT-NOUN,159,PROPN-VERB-NOUN,172,NOUN-NOUN-VERB,186,PUNCT-NOUN-NOUN,207,NOUN-NOUN-VERB,209,PUNCT-NOUN-NOUN,152,VERB-NOUN-VERB,187,NOUN-NOUN-VERB,134,NOUN-PRON-VERB,227,NOUN-PUNCT-NOUN,201,VERB-PUNCT-NOUN,242,NOUN-ADJ-NOUN,169,NOUN-PROPN-PUNCT,211,NOUN-PUNCT-VERB,241,PRON-VERB-NOUN,204,PROPN-VERB-NOUN,144,NOUN-NOUN-VERB,290,NOUN-VERB-NOUN,188
9,NOUN-PUNCT-VERB,174,NOUN-PUNCT-VERB,193,NOUN-PUNCT-DET,152,NOUN-PROPN-PUNCT,162,PUNCT-PRON-VERB,165,NOUN-NOUN-VERB,203,PRON-VERB-NOUN,205,NOUN-PUNCT-PRON,149,PRON-NOUN-VERB,184,PROPN-VERB-NOUN,124,PROPN-VERB-NOUN,216,NOUN-NOUN-VERB,197,VERB-NOUN-VERB,240,NOUN-PUNCT-NOUN,168,PUNCT-NOUN-NOUN,204,NOUN-NOUN-VERB,231,NOUN-PROPN-PUNCT,198,NOUN-PROPN-PUNCT,141,VERB-NOUN-DET,241,NOUN-NOUN-ADJ,158
10,NOUN-PROPN-PUNCT,169,NOUN-VERB-VERB,184,PUNCT-VERB-NOUN,151,PUNCT-NOUN-PUNCT,150,VERB-NOUN-VERB,151,VERB-VERB-NOUN,184,PUNCT-VERB-NOUN,188,PUNCT-NOUN-PUNCT,142,PUNCT-NOUN-NOUN,168,VERB-NOUN-VERB,110,NOUN-NOUN-PROPN,213,PUNCT-NOUN-NOUN,178,PUNCT-NOUN-VERB,204,NOUN-PROPN-NOUN,162,NOUN-NOUN-VERB,204,PRON-VERB-NOUN,228,PROPN-VERB-NOUN,185,NOUN-PRON-VERB,132,NOUN-NOUN-NOUN,200,ADJ-NOUN-NOUN,135
11,NOUN-PRON-NOUN,164,PUNCT-NOUN-VERB,181,NOUN-VERB-PUNCT,139,NOUN-NOUN-VERB,145,PROPN-VERB-NOUN,139,NOUN-PROPN-PUNCT,183,PUNCT-NOUN-NOUN,177,PROPN-VERB-PUNCT,142,PUNCT-NOUN-PUNCT,132,NOUN-PROPN-PUNCT,109,NOUN-PUNCT-NOUN,204,PUNCT-VERB-NOUN,159,VERB-NOUN-PUNCT,191,NOUN-NOUN-ADJ,160,PUNCT-VERB-NOUN,168,NOUN-PROPN-PUNCT,213,PUNCT-NOUN-NOUN,184,NOUN-PUNCT-NOUN,128,DET-VERB-NOUN,176,PROPN-NOUN-NOUN,126
12,PROPN-NOUN-NOUN,158,VERB-NOUN-NOUN,178,NOUN-NOUN-PROPN,129,VERB-NOUN-VERB,141,NOUN-PUNCT-NOUN,136,PROPN-VERB-NOUN,157,PROPN-VERB-NOUN,170,VERB-PUNCT-SCONJ,138,PRON-NOUN-NOUN,130,VERB-VERB-NOUN,104,NOUN-NOUN-PRON,186,NOUN-NOUN-PROPN,158,PUNCT-NOUN-PUNCT,182,PUNCT-NOUN-NOUN,136,PROPN-VERB-NOUN,162,PUNCT-PRON-VERB,173,PUNCT-VERB-NOUN,179,VERB-NOUN-VERB,110,PROPN-VERB-NOUN,168,PROPN-PUNCT-NOUN,102
13,NOUN-NOUN-ADJ,143,NOUN-PART-NOUN,165,PUNCT-NOUN-NOUN,124,PUNCT-NOUN-NOUN,123,NOUN-VERB-PUNCT,135,PUNCT-VERB-NOUN,147,NOUN-PUNCT-VERB,159,PUNCT-PRON-NOUN,125,PROPN-NOUN-VERB,123,SCONJ-VERB-NOUN,101,PUNCT-NOUN-NOUN,171,PRON-VERB-NOUN,156,VERB-NOUN-NOUN,168,VERB-NOUN-VERB,124,NOUN-PUNCT-VERB,152,NOUN-NOUN-PROPN,161,NOUN-PUNCT-VERB,175,PUNCT-NOUN-PUNCT,101,DET-VERB-VERB,127,PUNCT-NOUN-PUNCT,98
14,PRON-NOUN-NOUN,141,PUNCT-VERB-NOUN,164,PUNCT-NOUN-PUNCT,122,PUNCT-NOUN-VERB,111,VERB-VERB-NOUN,108,PUNCT-PRON-VERB,135,NOUN-NOUN-PROPN,150,PRON-NOUN-NOUN,122,NOUN-NOUN-PUNCT,117,PUNCT-NOUN-PUNCT,101,NOUN-NOUN-VERB,171,VERB-NOUN-PROPN,148,PUNCT-PROPN-NOUN,154,NOUN-ADJ-PUNCT,115,NOUN-NOUN-PROPN,146,PUNCT-NOUN-NOUN,158,VERB-VERB-NOUN,165,VERB-VERB-NOUN,90,PROPN-VERB-VERB,118,NOUN-ADJ-PUNCT,96
15,NOUN-PRON-VERB,135,PART-NOUN-PUNCT,156,PUNCT-DET-VERB,104,PUNCT-PRON-VERB,110,PUNCT-NOUN-NOUN,91,NOUN-NOUN-PROPN,133,VERB-NOUN-VERB,147,PRON-VERB-PUNCT,118,ADJ-VERB-PUNCT,112,PUNCT-NOUN-NOUN,95,VERB-NOUN-PROPN,154,NOUN-PUNCT-VERB,138,PROPN-NOUN-NOUN,149,NOUN-NOUN-PROPN,114,PUNCT-NOUN-PUNCT,123,NOUN-PUNCT-PRON,151,NOUN-NOUN-PROPN,154,PUNCT-NOUN-NOUN,88,ADP-NOUN-VERB,117,ADJ-NOUN-VERB,91
