,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,1.0,0.9172413006263789,0.9163654772267635,0.9408281997107619,0.9364382100701709,0.8838829150031824,0.9177265775695116,0.9328627814949859,0.85358009694735,0.9522600453186635,0.9313729330502062,0.9254016315711608,0.762348916416567,0.6486367524819743,0.9414813135842754,0.9465249115998198,0.9353846361997746,0.6225845017129925,0.8342242300469984,0.905784950917576
Czech,0.9172413006263789,1.0,0.9668313294948273,0.9728256307066636,0.961812669805295,0.9534340233034088,0.9259894346579367,0.9583258083698882,0.8988261809622419,0.9405395189029108,0.9444130313992334,0.9590716396211121,0.8546839966821631,0.6911172956064625,0.9595578778235819,0.9843948462505631,0.9323340218950057,0.5121488522160038,0.9148549271561776,0.9369477307528392
German,0.9163654772267635,0.9668313294948273,1.0,0.9875500562302413,0.9728869382473624,0.9296340109000408,0.9663788044046172,0.9695946387642341,0.9063031841635628,0.9478083337913709,0.9456651040922339,0.9694666305843486,0.8079911650687914,0.6661352389378694,0.9766261174283526,0.9654913322243145,0.9612705405741406,0.5336967462971374,0.878655035685882,0.9134747121746666
English,0.9408281997107619,0.9728256307066636,0.9875500562302413,1.0,0.9760746963138823,0.9479694505796709,0.9677526348028371,0.9708741143247678,0.9092636080521327,0.9698181594756841,0.9608586176555606,0.9715033721644007,0.8169710604642972,0.683694077434728,0.9795462896787219,0.9814358656210352,0.9718590463430287,0.5596059753362606,0.8930140920101285,0.9356685335420812
Spanish,0.9364382100701709,0.961812669805295,0.9728869382473624,0.9760746963138823,1.0,0.8936400943891366,0.9801722615269293,0.9963388893004765,0.8670733756856356,0.9404506191557851,0.9123033760383502,0.9960665624287829,0.8040781262338174,0.6115727676553053,0.9962151007118107,0.9543432427586479,0.9235341641801479,0.5524520797838263,0.8461411286971163,0.9016311876661558
Finnish,0.8838829150031824,0.9534340233034088,0.9296340109000408,0.9479694505796709,0.8936400943891366,1.0,0.8714370148873718,0.8855011275468688,0.9206387215924059,0.941081118005062,0.9660044541785491,0.8824225027175927,0.8275363715169284,0.8091582416073664,0.898267736298228,0.967566711088694,0.9573823137870733,0.5681550002787041,0.9590050780026077,0.9574821256708053
French,0.9177265775695116,0.9259894346579367,0.9663788044046172,0.9677526348028371,0.9801722615269293,0.8714370148873718,1.0,0.9811382052461877,0.8535718273701831,0.9447368670486952,0.900211119479244,0.983381677363646,0.770722486358886,0.5487272207584827,0.9893135656949731,0.9345332425006186,0.9207826181408323,0.5120665664793687,0.7885996178310686,0.8640187844577768
Galician,0.9328627814949859,0.9583258083698882,0.9695946387642341,0.9708741143247678,0.9963388893004765,0.8855011275468688,0.9811382052461877,1.0,0.8616053426409639,0.9437227714086213,0.9055743877265336,0.993772579108281,0.7976020704291806,0.5839469065846017,0.9963047243623234,0.9514106632017181,0.9147032121271212,0.5558931679212713,0.8296047901735996,0.8968076443163326
Hindi,0.85358009694735,0.8988261809622419,0.9063031841635628,0.9092636080521327,0.8670733756856356,0.9206387215924059,0.8535718273701831,0.8616053426409639,1.0,0.8903828573104473,0.9109135865652036,0.8549344500434269,0.889729837399606,0.7362510377318507,0.8720623309805022,0.9192404074954897,0.9161331383192836,0.5592717458446398,0.9000411941329796,0.8996329083790874
Indonesian,0.9522600453186635,0.9405395189029108,0.9478083337913709,0.9698181594756841,0.9404506191557851,0.941081118005062,0.9447368670486952,0.9437227714086213,0.8903828573104473,1.0,0.9537821279323289,0.9338061670407378,0.7800224658023455,0.6493480321234361,0.9535039418839092,0.9718721143527232,0.956103998765817,0.6018887165740467,0.8603994914634349,0.9298479636576787
