,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,0.0,0.4283986522711707,0.44218505650942175,0.42520064779857875,0.4393364778755873,0.4586049119666254,0.4509773509394368,0.44005100347176856,0.49366919938937687,0.3517069274666243,0.3975624192235379,0.45052744429128694,0.5997552580229274,0.5193182254368046,0.42977870937722357,0.38055788871296353,0.4091890870800227,0.4512220227161908,0.47627204719839333,0.45592916960964636
Czech,0.4283986522711707,0.0,0.35283095853426294,0.3608383197841712,0.40476383328974,0.381132091850564,0.4299848056037788,0.4019093146161802,0.44980213025660637,0.39721820310438877,0.3788586032985795,0.419903604575438,0.570126400854103,0.4859952165913108,0.4040265117874982,0.29885858934197285,0.35426962373700505,0.49102888953734725,0.4123726050439843,0.42515321742938406
German,0.44218505650942175,0.35283095853426294,0.0,0.32736542925112516,0.37198631362437606,0.42765962635098953,0.37023296602415673,0.3691639725563446,0.42917781189660226,0.4169692434321114,0.4069715896677229,0.38268113714803753,0.5688292882672362,0.49421421188239106,0.36125512499033763,0.35268974470644615,0.32928031544368946,0.502023247450119,0.43497311835949337,0.41973807944449265
English,0.42520064779857875,0.3608383197841712,0.32736542925112516,0.0,0.3599206187595859,0.40796661283120783,0.36247507096629183,0.3745525183280453,0.4409856522091866,0.3873782047620476,0.37774079427303764,0.3687509705595609,0.5838359107324983,0.4980116155392827,0.35011643358266614,0.34247036946109916,0.30103080745399874,0.49129373712123253,0.44186465097325445,0.4269699333170939
Spanish,0.4393364778755873,0.40476383328974,0.37198631362437606,0.3599206187595859,0.0,0.47687830798757935,0.3019568295951564,0.26813771990550495,0.4870420009302545,0.4278758562547587,0.4544179377998692,0.2954357470938256,0.5978897203780538,0.548007476646717,0.2669534854858095,0.41120520414544537,0.3954808733087146,0.5025042559113189,0.4847375707869125,0.47486481947510867
Finnish,0.4586049119666254,0.381132091850564,0.42765962635098953,0.40796661283120783,0.47687830798757935,0.0,0.4854489705445727,0.48366172999133017,0.4488226682492176,0.4095294560934729,0.3669614150993698,0.4870397581663299,0.5597593336504098,0.428407565918666,0.46785536607729034,0.369532871376927,0.38790706999313074,0.5154916842445018,0.3749646145079461,0.4057837150413816
French,0.4509773509394368,0.4299848056037788,0.37023296602415673,0.36247507096629183,0.3019568295951564,0.4854489705445727,0.0,0.29946388121149436,0.4954659960442939,0.42959285783057244,0.4566249825850687,0.2879259815150726,0.6074182160095565,0.5706324818592727,0.2724770955116921,0.41998972006091895,0.39810435722964116,0.5149689496733569,0.5076852242493098,0.4887384336452857
Galician,0.44005100347176856,0.4019093146161802,0.3691639725563446,0.3745525183280453,0.26813771990550495,0.48366172999133017,0.29946388121149436,0.0,0.49302981006382013,0.4241647790778783,0.45974076371398215,0.3082184895505314,0.5991554523605859,0.5554364814276743,0.2775256659303952,0.40994097664327883,0.4071036109072489,0.5049973500969148,0.4893485988731651,0.47676193673655376
Hindi,0.49366919938937687,0.44980213025660637,0.42917781189660226,0.4409856522091866,0.4870420009302545,0.4488226682492176,0.4954659960442939,0.49302981006382013,0.0,0.48549302061409394,0.46121365050334234,0.50460719677806,0.4555787587647165,0.4957223096286604,0.48317924424983655,0.4272900385762077,0.43231773867639883,0.545375362652945,0.4237731542195146,0.4490959933027975
Indonesian,0.3517069274666243,0.39721820310438877,0.4169692434321114,0.3873782047620476,0.4278758562547587,0.4095294560934729,0.42959285783057244,0.4241647790778783,0.48549302061409394,0.0,0.3851999949910087,0.43544676850682085,0.5964675927532693,0.5023217910946639,0.4131509162331088,0.3476595680971917,0.3935887542220738,0.4349390782298082,0.4556839888263715,0.4335213097081244
Icelandic,0.3975624192235379,0.3788586032985795,0.4069715896677229,0.37774079427303764,0.4544179377998692,0.3669614150993698,0.4566249825850687,0.45974076371398215,0.46121365050334234,0.3851999949910087,0.0,0.4634508167694653,0.592124983755376,0.5118091403518018,0.444242691929624,0.3433373867061764,0.3206920426333135,0.4923773840777479,0.45920275458233617,0.4482412363811996
Italian,0.45052744429128694,0.419903604575438,0.38268113714803753,0.3687509705595609,0.2954357470938256,0.4870397581663299,0.2879259815150726,0.3082184895505314,0.50460719677806,0.43544676850682085,0.4634508167694653,0.0,0.6028228789058202,0.5636767699663894,0.26822558420340964,0.4243732300671061,0.412727986040004,0.5142687399852056,0.49934537018561925,0.48936227166193347
Japanese,0.5997552580229274,0.570126400854103,0.5688292882672362,0.5838359107324983,0.5978897203780538,0.5597593336504098,0.6074182160095565,0.5991554523605859,0.4555787587647165,0.5964675927532693,0.592124983755376,0.6028228789058202,0.0,0.5757457331230308,0.5942445359514281,0.5698579804246536,0.5895160792481869,0.6589410201548506,0.5238735691426843,0.533856346272367
Korean,0.5193182254368046,0.4859952165913108,0.49421421188239106,0.4980116155392827,0.548007476646717,0.428407565918666,0.5706324818592727,0.5554364814276743,0.4957223096286604,0.5023217910946639,0.5118091403518018,0.5636767699663894,0.5757457331230308,0.0,0.5492494973552757,0.4684405095300997,0.4932815666675061,0.5318388821620683,0.34201985650938604,0.3999086108607241
Portuguese,0.42977870937722357,0.4040265117874982,0.36125512499033763,0.35011643358266614,0.2669534854858095,0.46785536607729034,0.2724770955116921,0.2775256659303952,0.48317924424983655,0.4131509162331088,0.444242691929624,0.26822558420340964,0.5942445359514281,0.5492494973552757,0.0,0.40073925904155316,0.38960444041766257,0.5007718765344342,0.4850539609299946,0.46880472990609007
Russian,0.38055788871296353,0.29885858934197285,0.35268974470644615,0.34247036946109916,0.41120520414544537,0.369532871376927,0.41998972006091895,0.40994097664327883,0.4272900385762077,0.3476595680971917,0.3433373867061764,0.4243732300671061,0.5698579804246536,0.4684405095300997,0.40073925904155316,0.0,0.3305323370104777,0.4747258906122901,0.40486014828636885,0.3976283012764721
