Rank,Arabic_pattern,Arabic_count,Chinese_pattern,Chinese_count,Czech_pattern,Czech_count,English_pattern,English_count,Finnish_pattern,Finnish_count,French_pattern,French_count,Galician_pattern,Galician_count,German_pattern,German_count,Hindi_pattern,Hindi_count,Icelandic_pattern,Icelandic_count,Indonesian_pattern,Indonesian_count,Italian_pattern,Italian_count,Japanese_pattern,Japanese_count,Korean_pattern,Korean_count,Portuguese_pattern,Portuguese_count,Russian_pattern,Russian_count,Spanish_pattern,Spanish_count,Swedish_pattern,Swedish_count,Thai_pattern,Thai_count,Turkish_pattern,Turkish_count
1,ADP-NOUN,2232,NOUN-PUNCT,1273,ADJ-NOUN,1460,DET-NOUN,1135,NOUN-PUNCT,1164,DET-NOUN,3177,DET-NOUN,2859,DET-NOUN,1961,NOUN-ADP,2630,ADP-NOUN,1107,ADP-NOUN,1201,DET-NOUN,2551,NOUN-ADP,4654,NOUN-NOUN,3992,DET-NOUN,2669,NOUN-PUNCT,1583,DET-NOUN,2696,NOUN-ADP,1173,ADP-NOUN,1628,NOUN-NOUN,1914
2,NOUN-NOUN,1218,NOUN-NOUN,1194,NOUN-PUNCT,1268,NOUN-PUNCT,1125,NOUN-NOUN,860,ADP-DET,1943,ADP-DET,1800,ADP-DET,1145,ADP-NOUN,1643,NOUN-ADP,898,NOUN-NOUN,1079,ADP-DET,2045,ADP-VERB,2162,NOUN-VERB,1051,ADP-DET,1969,ADJ-NOUN,1523,NOUN-ADP,1823,ADJ-NOUN,1081,NOUN-NOUN,1367,NOUN-VERB,1073
3,NOUN-ADJ,1216,PART-NOUN,972,ADP-NOUN,841,NOUN-ADP,1101,ADJ-NOUN,815,NOUN-ADP,1749,NOUN-ADP,1725,ADJ-NOUN,1039,ADJ-NOUN,1154,NOUN-PUNCT,860,VERB-NOUN,744,NOUN-ADP,1619,ADP-NOUN,2158,PROPN-NOUN,782,NOUN-ADP,1702,ADP-NOUN,962,ADP-DET,1765,NOUN-PUNCT,1034,VERB-NOUN,1335,VERB-PUNCT,905
4,NOUN-ADP,1034,NOUN-VERB,857,NOUN-ADP,610,ADJ-NOUN,983,VERB-NOUN,675,NOUN-PUNCT,986,NOUN-PUNCT,875,VERB-PUNCT,893,NOUN-VERB,1032,ADJ-NOUN,770,PROPN-PROPN,629,NOUN-PUNCT,853,VERB-AUX,1696,NOUN-PUNCT,680,NOUN-PUNCT,965,NOUN-ADP,746,NOUN-PUNCT,959,ADP-NOUN,936,NOUN-VERB,997,ADJ-NOUN,826
5,ADJ-ADP,716,NUM-NOUN,756,NOUN-NOUN,550,ADP-DET,944,NOUN-VERB,619,NOUN-ADJ,839,ADP-NOUN,834,NOUN-ADP,876,VERB-AUX,862,PROPN-PUNCT,431,PROPN-PUNCT,596,NOUN-ADJ,763,NOUN-NOUN,1596,VERB-NOUN,625,NOUN-ADJ,871,NOUN-NOUN,725,ADP-NOUN,885,DET-ADJ,510,VERB-ADP,956,NOUN-ADJ,639
6,VERB-NOUN,692,VERB-NOUN,611,ADP-ADJ,437,VERB-ADP,572,PROPN-PROPN,393,VERB-ADP,744,NOUN-ADJ,820,NOUN-VERB,839,AUX-PUNCT,764,VERB-NOUN,416,NOUN-PUNCT,561,ADP-NOUN,742,AUX-PUNCT,957,NOUN-PROPN,482,ADP-NOUN,822,VERB-ADP,516,VERB-ADP,840,NOUN-VERB,427,VERB-VERB,925,DET-NOUN,583
7,NOUN-PUNCT,659,ADV-VERB,604,NOUN-VERB,421,DET-ADJ,539,PROPN-NOUN,361,ADP-NOUN,715,VERB-ADP,639,NOUN-PUNCT,793,ADP-ADP,734,VERB-ADP,415,VERB-ADP,558,VERB-ADP,686,AUX-AUX,816,NUM-NOUN,458,VERB-ADP,692,PROPN-PUNCT,499,NOUN-ADJ,793,DET-NOUN,408,NOUN-ADP,791,PROPN-NOUN,522
8,ADJ-PUNCT,514,VERB-VERB,568,NOUN-ADJ,414,PROPN-PUNCT,466,PRON-NOUN,328,VERB-DET,674,VERB-DET,598,DET-ADJ,746,ADP-ADJ,707,ADP-PROPN,366,NOUN-PRON,532,VERB-DET,581,PUNCT-NOUN,771,NOUN-AUX,429,VERB-DET,511,ADP-ADJ,487,VERB-DET,482,PRON-VERB,404,AUX-VERB,593,NOUN-PUNCT,468
9,NOUN-PRON,497,VERB-PUNCT,513,PROPN-PUNCT,366,AUX-VERB,442,PRON-VERB,320,AUX-VERB,604,PROPN-PUNCT,507,NOUN-DET,448,PROPN-ADP,653,NOUN-VERB,332,NOUN-ADJ,518,AUX-VERB,529,PROPN-ADP,715,DET-NOUN,413,PROPN-PUNCT,496,VERB-NOUN,447,ADP-PROPN,474,VERB-ADP,386,NOUN-DET,583,NOUN-ADP,399
10,VERB-ADP,472,NOUN-PART,512,DET-NOUN,331,ADP-NOUN,424,NOUN-AUX,319,PRON-VERB,487,ADP-PROPN,450,AUX-PUNCT,299,VERB-PUNCT,609,PROPN-PROPN,328,NOUN-PROPN,467,PROPN-PUNCT,520,ADP-PUNCT,711,PROPN-PROPN,388,ADJ-PUNCT,411,NOUN-VERB,419,PROPN-PUNCT,453,ADP-PROPN,361,NOUN-ADJ,540,PUNCT-NOUN,377
11,PROPN-PUNCT,431,NOUN-ADP,474,VERB-NOUN,328,NOUN-NOUN,414,PUNCT-PRON,315,PROPN-PUNCT,449,ADJ-PUNCT,398,PROPN-PUNCT,296,NOUN-NOUN,584,NOUN-NOUN,326,PRON-VERB,445,DET-PROPN,483,AUX-NOUN,592,NOUN-ADJ,379,ADJ-ADP,391,NOUN-ADJ,414,PRON-VERB,421,ADP-DET,338,NOUN-PROPN,475,NOUN-ADV,309
12,PROPN-PROPN,420,VERB-AUX,439,PUNCT-SCONJ,301,ADP-PROPN,409,VERB-PUNCT,273,ADJ-PUNCT,413,PRON-VERB,365,ADP-NOUN,294,DET-NOUN,503,PART-VERB,321,NOUN-ADP,416,ADJ-ADP,411,NUM-NOUN,574,ADJ-NOUN,378,DET-PROPN,346,NOUN-PROPN,373,ADJ-ADP,367,PROPN-PUNCT,313,ADP-VERB,447,NOUN-PROPN,298
13,ADP-PROPN,398,PROPN-NOUN,383,VERB-PUNCT,300,VERB-DET,403,AUX-VERB,265,ADJ-NOUN,403,ADJ-ADP,359,ADP-PROPN,288,ADP-VERB,478,VERB-ADV,317,NOUN-DET,365,PROPN-PROPN,406,VERB-SCONJ,497,VERB-PUNCT,323,AUX-VERB,346,DET-NOUN,364,ADJ-PUNCT,366,PART-VERB,297,ADP-PROPN,409,PROPN-PROPN,280
14,NOUN-PROPN,381,NOUN-ADV,340,VERB-ADP,292,PROPN-PROPN,360,NOUN-PROPN,253,ADJ-ADP,380,NOUN-VERB,340,PUNCT-PRON,262,PRON-NOUN,425,NOUN-CCONJ,317,ADP-PROPN,335,ADJ-PUNCT,396,SCONJ-VERB,480,NOUN-ADV,275,PRON-VERB,319,PRON-VERB,347,ADJ-NOUN,361,VERB-NOUN,294,DET-VERB,407,NUM-NOUN,268
15,ADP-PRON,305,AUX-VERB,320,NOUN-CCONJ,269,NOUN-AUX,326,VERB-ADV,250,ADP-PROPN,370,PUNCT-DET,302,PUNCT-SCONJ,251,ADJ-VERB,389,AUX-VERB,283,ADJ-PUNCT,289,ADP-PROPN,370,VERB-PUNCT,432,NOUN-NUM,253,ADJ-NOUN,315,PUNCT-VERB,322,AUX-VERB,359,VERB-ADV,291,NOUN-NUM,348,NOUN-AUX,258
16,PRON-NOUN,284,VERB-PART,313,NOUN-PROPN,262,NOUN-VERB,315,NOUN-CCONJ,248,PUNCT-DET,335,DET-DET,292,NOUN-CCONJ,251,VERB-ADP,344,ADP-PRON,282,DET-NOUN,282,ADJ-NOUN,345,AUX-SCONJ,411,PART-NOUN,246,PROPN-PROPN,309,VERB-ADJ,277,NOUN-VERB,288,NOUN-CCONJ,268,PROPN-VERB,293,VERB-NOUN,253
17,PART-VERB,271,PUNCT-PROPN,309,ADJ-ADJ,229,PRON-AUX,293,PROPN-PUNCT,227,DET-ADJ,310,VERB-PRON,267,PUNCT-NOUN,233,NOUN-PUNCT,324,ADV-ADP,275,PUNCT-NOUN,280,PRON-VERB,295,PUNCT-PROPN,397,AUX-PUNCT,236,NOUN-VERB,282,PUNCT-SCONJ,260,PUNCT-DET,249,VERB-PRON,245,VERB-PART,291,ADJ-DET,248
18,PROPN-ADJ,266,PROPN-PUNCT,304,AUX-ADJ,217,PRON-VERB,291,PUNCT-SCONJ,226,PRON-AUX,291,ADJ-NOUN,261,VERB-DET,231,AUX-AUX,323,ADP-ADJ,268,AUX-VERB,267,DET-ADJ,286,PROPN-NOUN,394,ADV-NOUN,216,ADP-PROPN,277,VERB-PUNCT,226,DET-ADJ,237,ADP-ADJ,239,AUX-NOUN,275,PUNCT-PROPN,234
19,PROPN-ADP,257,VERB-PROPN,275,ADV-VERB,216,PART-VERB,277,VERB-ADJ,226,NOUN-VERB,254,PUNCT-VERB,259,PROPN-VERB,230,ADP-DET,322,NOUN-AUX,268,PROPN-VERB,259,NOUN-VERB,261,NOUN-PUNCT,382,AUX-NOUN,205,PUNCT-DET,260,NOUN-CCONJ,225,ADP-VERB,236,AUX-VERB,224,ADJ-ADP,257,ADP-NOUN,230
