,Arabic,Czech,German,English,Spanish,Finnish,French,Galician,Hindi,Indonesian,Icelandic,Italian,Japanese,Korean,Portuguese,Russian,Swedish,Thai,Turkish,Chinese
Arabic,0.0,0.11500420282386205,0.18656875648554597,0.14318717626413685,0.16207827619556292,0.17937189301063416,0.18322335840143616,0.18245445866998633,0.08587351052971606,0.11199196216685513,0.10820312654466469,0.1843379195460375,0.16351995977394948,0.29090287908864115,0.1721863758480946,0.0955923074229879,0.10199790978283976,0.18356898283112139,0.1703537458405724,0.17820384471240364
Czech,0.11500420282386205,0.0,0.12554361085254137,0.1018421712731865,0.1476356226419816,0.1278366383412623,0.1547345733350853,0.16015377565351943,0.1307265621498059,0.1024688153937425,0.10700592241677397,0.1599622238196348,0.1988226366523173,0.2884081743129299,0.14821585281768798,0.04650057232456154,0.0837945702564626,0.20101563401128655,0.13024807631902066,0.14929052805890508
German,0.18656875648554597,0.12554361085254137,0.0,0.06365859666022305,0.08502162580076103,0.19004042136446758,0.07177075826224391,0.0796511742283548,0.1693837629503308,0.13661144342066148,0.1585929424284489,0.08030933139048194,0.2310371234880006,0.3359459655406803,0.07437477383634906,0.1458124603544052,0.10848000177140467,0.21544549158515586,0.19922667518806195,0.18104503130668156
English,0.14318717626413685,0.1018421712731865,0.06365859666022305,0.0,0.08487160752186637,0.16934532599397004,0.08286025943860881,0.0915343732573611,0.12435206569669069,0.09810861818480522,0.11184982133652237,0.08349726547657535,0.19325853647978664,0.3316347479800423,0.08043666847573872,0.11722673187512077,0.06309267585997362,0.18373018796619983,0.190458424722418,0.15627624266106663
Spanish,0.16207827619556292,0.1476356226419816,0.08502162580076103,0.08487160752186637,0.0,0.23250525524680224,0.031640177020185845,0.027309491040348865,0.1258441009373929,0.1511957056886729,0.16262871428484543,0.04069405452969573,0.1930363493419784,0.35369403568783503,0.02404649316285143,0.16014105949465934,0.10934562117343101,0.19139058619866178,0.22534888532562286,0.2099406557449794
Finnish,0.17937189301063416,0.1278366383412623,0.19004042136446758,0.16934532599397004,0.23250525524680224,0.0,0.2378341627554844,0.2433033905514948,0.21175916268208825,0.10603220778614264,0.1296137666832108,0.2428566394772038,0.2501827368045602,0.24549268621111056,0.23456657870888556,0.12075233694873194,0.14886884853436025,0.21590611196155476,0.11961252437038322,0.1191982694642365
French,0.18322335840143616,0.1547345733350853,0.07177075826224391,0.08286025943860881,0.031640177020185845,0.2378341627554844,0.0,0.02786335105872039,0.14444753364765753,0.16341190990184407,0.17335715574016877,0.027137216549643274,0.2076058930218101,0.36679445976722097,0.019799822935546274,0.1722901397444239,0.11923926487166754,0.20827512409349716,0.23612572599259707,0.21706271465145296
Galician,0.18245445866998633,0.16015377565351943,0.0796511742283548,0.0915343732573611,0.027309491040348865,0.2433033905514948,0.02786335105872039,0.0,0.1490965165209792,0.16283432473862014,0.17993494077675343,0.0332172665022,0.2140829888981363,0.3657685596355654,0.023141149986302782,0.17393990948647223,0.12635787672375443,0.2087821516550362,0.23705327452792696,0.22054504499533803
Hindi,0.08587351052971606,0.1307265621498059,0.1693837629503308,0.12435206569669069,0.1258441009373929,0.21175916268208825,0.14444753364765753,0.1490965165209792,0.0,0.1364432372998971,0.11628271082156766,0.14712688035859375,0.10689155851463106,0.33321369436872,0.13649784852230334,0.12787495864057036,0.09826579487545606,0.16521850199843183,0.21176536541160756,0.19163048670191848
Indonesian,0.11199196216685513,0.1024688153937425,0.13661144342066148,0.09810861818480522,0.1511957056886729,0.10603220778614264,0.16341190990184407,0.16283432473862014,0.1364432372998971,0.0,0.08104687645807213,0.16456259973718138,0.1930307207227651,0.27459452558955705,0.15655194316391652,0.08768847516841687,0.08067070089764025,0.1651161219337698,0.14300930889168834,0.11498150663437663
